rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,time/fps,time/time_elapsed,time/episodes,train/ent_coef,eval/mean_ep_length,eval/mean_reward
,39000,,0.018946783617138863,-1.0089683532714844,0.0003,33.59238815307617,38899,,,,0.008189603686332703,100.0,-38.02738968
-41.67373862,39200,100.0,0.017534008249640465,0.2517930567264557,0.0003,33.483524322509766,39099,36,1070,392,0.008201722986996174,,
,39500,,0.023635204881429672,-0.13801728188991547,0.0003,33.88776779174805,39399,,,,0.00820151623338461,100.0,-37.080433039999996
-41.49253540000001,39600,100.0,0.019205905497074127,0.10795798897743225,0.0003,33.48968505859375,39499,36,1082,396,0.008222311735153198,,
,40000,,0.024927997961640358,0.39285239577293396,0.0003,33.98363494873047,39899,,,,0.008187186904251575,100.0,-38.055131159999995
-41.34387106,40000,100.0,,,,,,36,1094,400,,,
-41.56196696,40400,100.0,0.023155810311436653,-0.8073199987411499,0.0003,33.89689254760742,40299,36,1099,404,0.008216312155127525,,
,40500,,0.021193116903305054,0.8040936589241028,0.0003,33.813323974609375,40399,,,,0.008186746388673782,100.0,-39.10656794
-41.41124313,40800,100.0,0.030161844566464424,-3.04960298538208,0.0003,34.679908752441406,40699,36,1112,408,0.008245477452874184,,
,41000,,0.021645868197083473,1.9976272583007812,0.0003,34.44823455810547,40899,,,,0.008216354995965958,100.0,-37.2286415
-41.26988059,41200,100.0,0.01880846545100212,2.0433616638183594,0.0003,34.288963317871094,41099,36,1124,412,0.008238851092755795,,
,41500,,0.017576949670910835,0.6515305042266846,0.0003,34.459747314453125,41399,,,,0.0082811014726758,100.0,-38.77714804
-41.266816760000005,41600,100.0,0.03028382733464241,0.09296762943267822,0.0003,34.392967224121094,41499,36,1137,416,0.008277173154056072,,
,42000,,0.023496519774198532,1.2490650415420532,0.0003,34.822303771972656,41899,,,,0.008178381249308586,100.0,-34.60157226
-40.975000820000005,42000,100.0,,,,,,36,1149,420,,,
-40.655805560000005,42400,100.0,0.04127740487456322,0.07575438916683197,0.0003,34.61977767944336,42299,36,1155,424,0.008209188468754292,,
,42500,,0.022893086075782776,-0.3521459996700287,0.0003,34.94390106201172,42399,,,,0.008212661370635033,100.0,-34.69913366
-40.19362933,42800,100.0,0.023405253887176514,-1.8998030424118042,0.0003,35.22868728637695,42699,36,1167,428,0.008230314590036869,,
,43000,,0.024723675101995468,1.4745192527770996,0.0003,35.04048156738281,42899,,,,0.008195003494620323,100.0,-34.890369760000006
-39.762540949999995,43200,100.0,0.022826097905635834,0.33146119117736816,0.0003,35.256805419921875,43099,36,1180,432,0.008230510167777538,,
,43500,,0.0315064936876297,-1.2650070190429688,0.0003,35.63117980957031,43399,,,,0.00823186431080103,100.0,-40.936222
-40.07469228,43600,100.0,0.030219830572605133,-1.0956932306289673,0.0003,35.37411117553711,43499,36,1192,436,0.00826194416731596,,
,44000,,0.01776900142431259,-1.3428497314453125,0.0003,35.31669616699219,43899,,,,0.008307251147925854,100.0,-34.44645418
-40.16793027,44000,100.0,,,,,,36,1205,440,,,
-40.4499485,44400,100.0,0.039899904280900955,-0.5730413198471069,0.0003,35.523345947265625,44299,36,1210,444,0.00838196836411953,,
,44500,,0.02448015846312046,-1.2207820415496826,0.0003,35.52259826660156,44399,,,,0.008359907194972038,100.0,-37.1948135
-40.17752113,44800,100.0,0.028993558138608932,-1.1319154500961304,0.0003,35.87713623046875,44699,36,1222,448,0.008311166428029537,,
,45000,,0.028194967657327652,1.2141491174697876,0.0003,35.75954055786133,44899,,,,0.008310460485517979,100.0,-33.8151553
-40.02770667,45200,100.0,0.02991582453250885,-0.08284109830856323,0.0003,36.011749267578125,45099,36,1235,452,0.008312073536217213,,
,45500,,0.019280776381492615,-0.9989078044891357,0.0003,35.7204704284668,45399,,,,0.008296847343444824,100.0,-41.254557500000004
-39.889639,45600,100.0,0.027066774666309357,0.8251718282699585,0.0003,36.359291076660156,45499,36,1247,456,0.00835228431969881,,
,46000,,0.021427413448691368,0.6750990152359009,0.0003,36.037803649902344,45899,,,,0.008262444287538528,100.0,-35.57219188
-39.599977349999996,46000,100.0,,,,,,36,1260,460,,,
-39.34807417000001,46400,100.0,0.0327913835644722,0.025417089462280273,0.0003,36.23463439941406,46299,36,1265,464,0.008263378404080868,,
,46500,,0.02781280130147934,1.4834520816802979,0.0003,35.83079147338867,46399,,,,0.00823031086474657,100.0,-36.93787776
-39.67976826,46800,100.0,0.026859097182750702,0.5506444573402405,0.0003,36.51239776611328,46699,36,1278,468,0.008310500532388687,,
,47000,,0.027648383751511574,-1.1641430854797363,0.0003,36.13133239746094,46899,,,,0.008358588442206383,100.0,-36.681070059999996
-38.89350359,47200,100.0,0.03531109541654587,0.9755850434303284,0.0003,36.34758758544922,47099,36,1290,472,0.008323825895786285,,
,47500,,0.04611649364233017,-1.5744414329528809,0.0003,36.56043243408203,47399,,,,0.008328736759722233,100.0,-37.025791420000004
-38.74779040000001,47600,100.0,0.027915291488170624,1.2294232845306396,0.0003,36.30445098876953,47499,36,1302,476,0.00826661754399538,,
,48000,,0.034421756863594055,1.6399476528167725,0.0003,36.145416259765625,47899,,,,0.008339092135429382,100.0,-41.21349214
-39.255074990000004,48000,100.0,,,,,,36,1315,480,,,
-39.02147304,48400,100.0,0.03378234803676605,0.17510095238685608,0.0003,36.68217468261719,48299,36,1320,484,0.008384650573134422,,
,48500,,0.0242635365575552,0.4148993194103241,0.0003,36.25928497314453,48399,,,,0.008411573246121407,100.0,-38.0699771
-39.0019954,48800,100.0,0.03339831531047821,-1.7851618528366089,0.0003,36.64678955078125,48699,36,1333,488,0.008433610200881958,,
,49000,,0.031199946999549866,-1.155967354774475,0.0003,36.71428298950195,48899,,,,0.008378880098462105,100.0,-38.507649820000005
