train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,,5.101849555969238,0.017655661329627037,,12500,,,0.03014494478702545,12399,-17.03836441040039,,100.0,-40.48264502000001
0.0003,344,5.954004287719727,0.02126486226916313,100.0,12800,128,-80.84588928,0.027975717559456825,12699,-16.517349243164062,37,,
0.0003,,6.277157783508301,0.01662907376885414,,13000,,,0.02663034200668335,12899,-15.641886711120605,,100.0,-38.33972198
0.0003,356,6.567470073699951,0.01604723557829857,100.0,13200,132,-77.26671649000001,0.02535839006304741,13099,-15.448612213134766,36,,
0.0003,,7.312802791595459,0.014741897583007812,,13500,,,0.023584779351949692,13399,-15.02324390411377,,100.0,-39.569431740000006
0.0003,369,7.641347885131836,0.015661420300602913,100.0,13600,136,-74.05305059000001,0.023024018853902817,13499,-15.059171676635742,36,,
0.0003,,7.983701229095459,0.014721146784722805,,14000,,,0.020943669602274895,13899,-12.853525161743164,,100.0,-40.433974199999994
,381,,,100.0,14000,140,-71.11659729000002,,,,36,,
0.0003,386,8.883369445800781,0.014939993619918823,100.0,14400,144,-68.41283495,0.01907670870423317,14299,-12.362604141235352,37,,
0.0003,,9.120702743530273,0.013149900361895561,,14500,,,0.018642302602529526,14399,-11.878843307495117,,100.0,-39.4655725
0.0003,399,9.889240264892578,0.014693403616547585,100.0,14800,148,-65.45918988,0.017416588962078094,14699,-11.485424995422363,37,,
0.0003,,10.101966857910156,0.01800253614783287,,15000,,,0.016651660203933716,14899,-10.066387176513672,,100.0,-38.88383684
0.0003,411,10.738937377929688,0.01410701498389244,100.0,15200,152,-63.298403949999994,0.01593059115111828,15099,-10.839485168457031,36,,
0.0003,,11.111973762512207,0.01487977895885706,,15500,,,0.014936869032680988,15399,-9.900930404663086,,100.0,-40.075551340000004
