time/fps,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,0.018272103741765022,,0.0003,33.582298278808594,-1.6841962337493896,,43399,,,43500,0.007591689936816692,-39.67689102,100.0
36,0.017973095178604126,100.0,0.0003,33.787078857421875,-1.051405906677246,1201,43499,-40.490594279999996,436,43600,0.007610471919178963,,
,0.01977585256099701,,0.0003,33.70613479614258,1.1208512783050537,,43899,,,44000,0.007629496976733208,-38.66715836,100.0
36,,100.0,,,,1214,,-40.63614387,440,44000,,,
36,0.02145254984498024,100.0,0.0003,34.19220733642578,-1.1995525360107422,1219,44299,-40.81731355,444,44400,0.007680170703679323,,
,0.014469131827354431,,0.0003,33.85791778564453,1.7094004154205322,,44399,,,44500,0.007719209883362055,-38.69675504,100.0
36,0.022847216576337814,100.0,0.0003,34.198089599609375,-1.1505829095840454,1231,44699,-40.620273180000005,448,44800,0.007822008803486824,,
,0.01628921926021576,,0.0003,33.78998565673828,0.09664183855056763,,44899,,,45000,0.007818813435733318,-38.70068937999999,100.0
36,0.016658470034599304,100.0,0.0003,33.914207458496094,0.664025068283081,1244,45099,-40.680289710000004,452,45200,0.007847637869417667,,
,0.020651066675782204,,0.0003,34.1231689453125,-1.3136279582977295,,45399,,,45500,0.007868722081184387,-38.869888020000005,100.0
36,0.022204415872693062,100.0,0.0003,34.52419662475586,-0.05949050188064575,1256,45499,-40.77692778000001,456,45600,0.007880231365561485,,
,0.014081510715186596,,0.0003,34.56648635864258,-0.046937182545661926,,45899,,,46000,0.007868035696446896,-39.9447704,100.0
36,,100.0,,,,1269,,-40.56145512,460,46000,,,
36,0.01865069940686226,100.0,0.0003,34.983070373535156,-0.8045771718025208,1274,46299,-40.68404377,464,46400,0.007828038185834885,,
,0.018599294126033783,,0.0003,34.35676574707031,0.8851784467697144,,46399,,,46500,0.007801670581102371,-38.8673512,100.0
36,0.01706993579864502,100.0,0.0003,35.04322814941406,2.2039027214050293,1286,46699,-40.90451133,468,46800,0.007872726768255234,,
,0.019827719777822495,,0.0003,34.55359649658203,0.3851749897003174,,46899,,,47000,0.007877198979258537,-37.94030986,100.0
36,0.020531736314296722,100.0,0.0003,34.816062927246094,0.9069191813468933,1299,47099,-40.517848869999995,472,47200,0.007748516276478767,,
,0.028255533427000046,,0.0003,35.09581756591797,-0.10371291637420654,,47399,,,47500,0.007773734163492918,-38.89607864,100.0
36,0.016054661944508553,100.0,0.0003,34.73115539550781,1.9885174036026,1311,47499,-40.58383824,476,47600,0.007785003166645765,,
,0.014104080386459827,,0.0003,34.884029388427734,-0.1384943425655365,,47899,,,48000,0.007827411405742168,-38.579909040000004,100.0
36,,100.0,,,,1324,,-40.539513400000004,480,48000,,,
36,0.020556960254907608,100.0,0.0003,34.97315979003906,0.09177057445049286,1329,48299,-40.38486538,484,48400,0.007791506592184305,,
