time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,0.08055887371301651,31000,30899,,,,34.328529357910156,0.001,-40.25086676,100.0
434,-43.560824329999996,0.07156667113304138,31200,31099,100.0,71,312,34.56062316894531,0.001,,
,,0.07803066819906235,31500,31399,,,,34.65290832519531,0.001,-45.06756732000001,100.0
440,-43.305525499999995,0.06824150681495667,31600,31499,100.0,71,316,34.712425231933594,0.001,,
,,0.07129202038049698,32000,31899,,,,35.04909133911133,0.001,-40.80938944,100.0
446,-43.40751469,,32000,,100.0,71,320,,,,
449,-43.27503484999998,0.05764210969209671,32400,32299,100.0,72,324,35.34836196899414,0.001,,
,,0.06530510634183884,32500,32399,,,,35.42887878417969,0.001,-41.810443379999995,100.0
455,-43.44926988,0.06485851854085922,32800,32699,100.0,71,328,35.55110549926758,0.001,,
,,0.08262598514556885,33000,32899,,,,35.82342529296875,0.001,-40.510167179999996,100.0
461,-43.159610140000005,0.06718230247497559,33200,33099,100.0,71,332,35.835819244384766,0.001,,
,,0.09152479469776154,33500,33399,,,,36.19902801513672,0.001,-41.31413256,100.0
468,-42.85913889,0.08654895424842834,33600,33499,100.0,71,336,36.15093231201172,0.001,,
,,0.08722791075706482,34000,33899,,,,36.557987213134766,0.001,-42.72481891999999,100.0
474,-42.554630880000005,,34000,,100.0,71,340,,,,
477,-42.337239370000006,0.10277170687913895,34400,34299,100.0,72,344,37.1218147277832,0.001,,
,,0.08489610254764557,34500,34399,,,,36.691795349121094,0.001,-39.389439259999996,100.0
483,-42.12690982,0.08572715520858765,34800,34699,100.0,71,348,36.95331573486328,0.001,,
,,0.05646652355790138,35000,34899,,,,37.01110076904297,0.001,-42.32702802,100.0
489,-42.108828190000004,0.06928682327270508,35200,35099,100.0,71,352,36.8179817199707,0.001,,
,,0.07799646258354187,35500,35399,,,,37.43806838989258,0.001,-41.92493294,100.0
496,-42.02380881,0.09303180873394012,35600,35499,100.0,71,356,37.35639572143555,0.001,,
,,0.08315065503120422,36000,35899,,,,37.38526916503906,0.001,-39.29204026,100.0
503,-42.03884243999999,,36000,,100.0,71,360,,,,
505,-42.12706169,0.054197318851947784,36400,36299,100.0,71,364,37.78673553466797,0.001,,
,,0.0678020641207695,36500,36399,,,,37.71427917480469,0.001,-40.32225074,100.0
512,-42.221355949999996,0.07928482443094254,36800,36699,100.0,71,368,38.1531982421875,0.001,,
,,0.06482889503240585,37000,36899,,,,38.07954788208008,0.001,-41.427445119999994,100.0
519,-42.12426524000001,0.173073410987854,37200,37099,100.0,71,372,38.38338088989258,0.001,,
,,0.07256586104631424,37500,37399,,,,38.52069854736328,0.001,-40.996361439999994,100.0
525,-42.273309180000005,0.06523704528808594,37600,37499,100.0,71,376,38.54054260253906,0.001,,
,,0.061655107885599136,38000,37899,,,,38.623329162597656,0.001,-40.783467339999994,100.0
531,-42.150832769999994,,38000,,100.0,71,380,,,,
534,-41.99260909,0.07516308128833771,38400,38299,100.0,71,384,38.825347900390625,0.001,,
,,0.06492099165916443,38500,38399,,,,39.31721115112305,0.001,-39.744336620000006,100.0
540,-42.035900540000014,0.08282174915075302,38800,38699,100.0,71,388,39.07997131347656,0.001,,
,,0.0824156254529953,39000,38899,,,,39.25208282470703,0.001,-40.759094059999995,100.0
546,-41.84831817000001,0.09492914378643036,39200,39099,100.0,71,392,39.183738708496094,0.001,,
,,0.07501232624053955,39500,39399,,,,39.29419708251953,0.001,-41.152351419999995,100.0
553,-42.090950160000006,0.11053130030632019,39600,39499,100.0,71,396,39.50296401977539,0.001,,
,,0.07128923386335373,40000,39899,,,,39.76796340942383,0.001,-41.20097981999999,100.0
559,-41.90527545999999,,40000,,100.0,71,400,,,,
561,-41.64927994999999,0.08495044708251953,40400,40299,100.0,71,404,39.715721130371094,0.001,,
,,0.10311424732208252,40500,40399,,,,39.637901306152344,0.001,-39.35746908,100.0
568,-41.448565210000005,0.0971391573548317,40800,40699,100.0,71,408,40.16294860839844,0.001,,
