time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
1039,384,0.0003,38299,0.026915544643998146,0.626492440700531,-42.842302309999994,0.008580442517995834,38400,100.0,36,31.8867244720459,,
,,0.0003,38399,0.02306889370083809,0.9033536911010742,,0.008580598048865795,38500,,,31.982532501220703,100.0,-40.98627166
1052,388,0.0003,38699,0.02269270271062851,0.02338847517967224,-42.50009362000001,0.008650734089314938,38800,100.0,36,32.283836364746094,,
,,0.0003,38899,0.021071022376418114,1.3770524263381958,,0.008630507625639439,39000,,,32.41862106323242,100.0,-41.66927017999999
1064,392,0.0003,39099,0.0234912671148777,-0.888064980506897,-42.32767363,0.008607115596532822,39200,100.0,36,32.55085754394531,,
,,0.0003,39399,0.022199712693691254,-0.191287100315094,,0.00864540133625269,39500,,,32.132080078125,100.0,-40.58546604
1077,396,0.0003,39499,0.029300808906555176,1.1837961673736572,-42.089406960000005,0.00866161473095417,39600,100.0,36,32.68982696533203,,
,,0.0003,39899,0.028532058000564575,0.7576884627342224,,0.00872776284813881,40000,,,33.34928894042969,100.0,-38.892168
1089,400,,,,,-41.585962620000004,,40000,100.0,36,,,
1094,404,0.0003,40299,0.023608407005667686,-0.7327516078948975,-41.559316720000005,0.008848623372614384,40400,100.0,36,32.8739128112793,,
,,0.0003,40399,0.021605532616376877,-0.3694065809249878,,0.00888406578451395,40500,,,33.24826431274414,100.0,-36.94509972
1107,408,0.0003,40699,0.021624600514769554,0.9172518849372864,-41.36717893,0.008882308378815651,40800,100.0,36,33.0345573425293,,
,,0.0003,40899,0.02208353951573372,-1.1069011688232422,,0.008852300234138966,41000,,,33.245975494384766,100.0,-37.17226206
1119,412,0.0003,41099,0.027425386011600494,-0.2491123080253601,-41.26668186999999,0.008866882883012295,41200,100.0,36,33.69713592529297,,
,,0.0003,41399,0.04954526573419571,-0.4227893352508545,,0.008838064968585968,41500,,,33.65476989746094,100.0,-42.0312
1132,416,0.0003,41499,0.01845422573387623,0.5442715883255005,-40.984556479999995,0.008782384917140007,41600,100.0,36,33.46691131591797,,
,,0.0003,41899,0.023268848657608032,0.824036717414856,,0.008838692680001259,42000,,,34.20771789550781,100.0,-38.217003319999996
1144,420,,,,,-41.141776799999995,,42000,100.0,36,,,
1149,424,0.0003,42299,0.028358513489365578,0.6233147382736206,-41.28830687999999,0.008827379904687405,42400,100.0,36,34.07944869995117,,
,,0.0003,42399,0.020685868337750435,-1.7290107011795044,,0.008805682882666588,42500,,,33.979461669921875,100.0,-37.27107864
