time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,47000,,,,0.001,46899,196.4971923828125,-342.98321533203125,9320.073393499999,1000.0
,,47500,,,,0.001,47399,235.1666259765625,-354.1875915527344,9136.287699460001,980.36
,,48000,,,,0.001,47899,312.61724853515625,-346.4150695800781,9320.70395906,1000.0
492,2819,48098,3596.61733487,386.68,17,0.001,47997,211.88412475585938,-347.2049865722656,,
,,48500,,,,0.001,48399,187.883544921875,-344.49908447265625,9319.2717064,1000.0
,,49000,,,,0.001,48899,280.9051818847656,-341.927734375,9320.24102466,1000.0
,,49500,,,,0.001,49399,86.287841796875,-351.6888427734375,9137.17646926,980.4
,,50000,,,,0.001,49899,121.88507843017578,-361.66436767578125,9320.22443614,1000.0
,,50500,,,,0.001,50399,118.0662841796875,-339.4197998046875,9135.8556423,980.3
,,51000,,,,0.001,50899,74.81431579589844,-356.69451904296875,9319.359937719999,1000.0
,,51500,,,,0.001,51399,325.07720947265625,-372.86572265625,9137.97772918,980.6
,,52000,,,,0.001,51899,110.50421142578125,-355.97637939453125,9319.530346119998,1000.0
496,3150,52098,3932.732074729999,422.7,16,0.001,51997,94.98419189453125,-359.388427734375,,
,,52500,,,,0.001,52399,230.64349365234375,-356.3321228027344,867.7519381799998,94.32
,,53000,,,,0.001,52899,68.38568115234375,-358.031494140625,9319.54407622,1000.0
,,53500,,,,0.001,53399,88.13844299316406,-351.87554931640625,9319.697788360001,1000.0
,,54000,,,,0.001,53899,181.8885498046875,-361.4972839355469,9134.11547554,980.32
,,54500,,,,0.001,54399,79.54035186767578,-370.80035400390625,9319.831021,1000.0
,,55000,,,,0.001,54899,129.3934326171875,-348.04852294921875,9319.46698132,1000.0
,,55500,,,,0.001,55399,406.2564697265625,-384.10797119140625,9319.78098168,1000.0
,,56000,,,,0.001,55899,211.61563110351562,-368.5422058105469,9319.657222200001,1000.0
500,3448,56098,4282.5207474,460.19,16,0.001,55997,199.07565307617188,-357.678466796875,,
,,56500,,,,0.001,56399,194.2232666015625,-373.94287109375,9320.02364932,1000.0
,,57000,,,,0.001,56899,242.8028564453125,-374.52294921875,9320.09248946,1000.0
,,57500,,,,0.001,57399,139.09530639648438,-382.9751281738281,9319.72240734,1000.0
,,58000,,,,0.001,57899,79.07041931152344,-367.8853759765625,9141.00255996,980.88
,,58500,,,,0.001,58399,118.83909606933594,-374.390625,9321.4242325,1000.0
,,59000,,,,0.001,58899,154.02352905273438,-374.1508483886719,9136.7729961,980.38
,,59500,,,,0.001,59399,86.80812072753906,-379.2984924316406,9141.33909954,980.9
,,60000,,,,0.001,59899,160.77719116210938,-385.3872375488281,9319.95429922,1000.0
504,3779,60098,4614.73016537,495.79,15,0.001,59997,88.83012390136719,-382.61883544921875,,
,,60500,,,,0.001,60399,156.009765625,-381.077880859375,9314.4662021,1000.0
,,61000,,,,0.001,60899,71.22532653808594,-395.79296875,9136.39964228,980.42
,,61500,,,,0.001,61399,85.11184692382812,-384.18560791015625,9140.41058856,980.36
,,62000,,,,0.001,61899,259.2214050292969,-390.84478759765625,9135.81661378,980.38
,,62500,,,,0.001,62399,215.15606689453125,-387.4881591796875,9320.15594372,1000.0
,,63000,,,,0.001,62899,164.01675415039062,-403.2516784667969,9320.4341073,1000.0
,,63500,,,,0.001,63399,70.71847534179688,-401.6430358886719,9144.11173812,981.18
,,64000,,,,0.001,63899,181.3463134765625,-392.8638916015625,9318.889351000002,1000.0
508,4110,64098,4956.704325719999,532.44,15,0.001,63997,426.15386962890625,-391.38385009765625,,
,,64500,,,,0.001,64399,217.4270477294922,-396.4476318359375,9140.07560272,980.8
,,65000,,,,0.001,64899,108.00434875488281,-400.7075500488281,9319.65899746,1000.0
,,65500,,,,0.001,65399,113.35604858398438,-410.6562194824219,9151.14574178,981.68
,,66000,,,,0.001,65899,171.66087341308594,-407.1871337890625,9138.949342599999,980.76
,,66500,,,,0.001,66399,104.94439697265625,-403.9094543457031,9318.99475918,1000.0
,,67000,,,,0.001,66899,419.36334228515625,-406.527587890625,9319.0441908,1000.0
,,67500,,,,0.001,67399,138.57305908203125,-410.47705078125,9319.82513684,1000.0
,,68000,,,,0.001,67899,113.76351928710938,-417.3125,9139.00465984,980.96
512,4439,68098,5304.16735204,569.68,15,0.001,67997,64.7508544921875,-402.57098388671875,,
,,68500,,,,0.001,68399,78.30878448486328,-392.01702880859375,9134.14599408,980.64
,,69000,,,,0.001,68899,100.01587677001953,-407.0096130371094,9134.65921924,980.72
,,69500,,,,0.001,69399,397.2694091796875,-421.8714599609375,9316.9496334,1000.0
,,70000,,,,0.001,69899,57.924293518066406,-410.65557861328125,9319.98130962,1000.0
,,70500,,,,0.001,70399,106.38916015625,-419.0306396484375,9139.981376599999,980.68
,,71000,,,,0.001,70899,251.0062713623047,-418.346923828125,9139.572394559998,980.66
,,71500,,,,0.001,71399,79.2307357788086,-430.8585205078125,9136.71440636,980.6
,,72000,,,,0.001,71899,108.03414154052734,-430.6136474609375,9138.65194176,980.64
516,4767,72098,5644.457711370001,606.15,15,0.001,71997,110.4111557006836,-412.11383056640625,,
,,72500,,,,0.001,72399,84.02253723144531,-417.1788024902344,9140.577733999999,980.82
