rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
59.79985698,828,98,12401,126,15.0,12300,-25.369375228881836,0.001,0.13227984309196472,,
59.79882525000002,832,98,12461,126,15.0,12360,-28.89955711364746,0.001,0.29944995045661926,,
,,,12500,,,12399,-26.080081939697266,0.001,0.2557651698589325,59.746226539999995,15.0
59.80629441000002,836,99,12521,125,15.0,12420,-26.527334213256836,0.001,0.17947742342948914,,
59.79024620999999,840,100,12581,125,15.0,12480,-28.58063507080078,0.001,0.18287566304206848,,
59.790870420000005,844,100,12641,125,15.0,12540,-28.54288673400879,0.001,0.45706209540367126,,
59.781728810000004,848,101,12701,125,15.0,12600,-27.036373138427734,0.001,0.16364416480064392,,
59.77335601000001,852,101,12761,125,15.0,12660,-26.301410675048828,0.001,0.163375124335289,,
59.77395767,856,101,12821,125,15.0,12720,-26.626243591308594,0.001,0.20184552669525146,,
59.77910868000001,860,102,12881,126,15.0,12780,-26.306554794311523,0.001,0.12154868245124817,,
59.77976007000001,864,102,12941,126,15.0,12840,-27.67165184020996,0.001,0.1453789472579956,,
,,,13000,,,12899,-27.735599517822266,0.001,0.17600196599960327,59.746226539999995,15.0
59.76696012999999,868,103,13001,125,15.0,12900,-26.001680374145508,0.001,0.17420783638954163,,
59.76826538999999,872,103,13061,125,15.0,12960,-26.05239486694336,0.001,0.14848250150680542,,
59.77460348,876,104,13121,125,15.0,13020,-27.48801040649414,0.001,0.29335808753967285,,
59.770291310000005,880,104,13181,125,15.0,13080,-26.644149780273438,0.001,0.14278635382652283,,
59.77326908999999,884,105,13241,125,15.0,13140,-27.617565155029297,0.001,0.2596471309661865,,
59.77401844,888,105,13301,126,15.0,13200,-27.745094299316406,0.001,0.2069994956254959,,
59.75170735999999,892,105,13361,126,15.0,13260,-29.444089889526367,0.001,0.33510953187942505,,
59.744091579999996,896,106,13421,126,15.0,13320,-25.45949935913086,0.001,0.10714755207300186,,
59.76315670000001,900,106,13481,126,15.0,13380,-28.846712112426758,0.001,0.20294135808944702,,
,,,13500,,,13399,-26.311901092529297,0.001,0.33563902974128723,59.746226539999995,15.0
59.74679866999999,904,107,13541,125,15.0,13440,-27.732938766479492,0.001,0.28922829031944275,,
59.75052215000001,908,107,13601,125,15.0,13500,-27.990402221679688,0.001,0.07690264284610748,,
59.74449536999999,912,108,13661,126,15.0,13560,-26.93486213684082,0.001,0.2751126289367676,,
