train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,63099,-41.97361642999999,63200,48.96691131591797,100.0,632,70,0.2016000598669052,892,,
0.001,63399,,63500,49.13874816894531,,,,0.23972734808921814,,-48.16394978,100.0
0.001,63499,-42.07852467,63600,48.88848114013672,100.0,636,70,0.1790342926979065,899,,
0.001,63899,,64000,49.38124084472656,,,,0.24403096735477448,,-43.87331628000001,100.0
,,-42.216146339999995,64000,,100.0,640,70,,906,,
0.001,64299,-42.60821907,64400,49.49979019165039,100.0,644,70,0.18810591101646423,908,,
0.001,64399,,64500,48.94516372680664,,,,0.17236347496509552,,-44.49349684,100.0
0.001,64699,-42.601547659999994,64800,49.050132751464844,100.0,648,70,0.2605961859226227,914,,
0.001,64899,,65000,49.25946044921875,,,,0.18147654831409454,,-44.77682326,100.0
0.001,65099,-42.82788795,65200,49.31303787231445,100.0,652,70,0.17403686046600342,921,,
0.001,65399,,65500,49.33265686035156,,,,0.2341613620519638,,-43.42703468,100.0
0.001,65499,-42.859609309999996,65600,49.788307189941406,100.0,656,70,0.18883638083934784,928,,
0.001,65899,,66000,49.839317321777344,,,,0.16596221923828125,,-45.73397458,100.0
,,-42.54498492999999,66000,,100.0,660,70,,934,,
0.001,66299,-42.61709973,66400,49.12010192871094,100.0,664,70,0.2653684616088867,936,,
0.001,66399,,66500,49.756263732910156,,,,0.18039058148860931,,-48.62464068,100.0
0.001,66699,-42.69236076,66800,49.21470642089844,100.0,668,70,0.2027800977230072,943,,
0.001,66899,,67000,49.5091552734375,,,,0.19142821431159973,,-48.84632884,100.0
0.001,67099,-42.65473132,67200,49.79688262939453,100.0,672,70,0.289838969707489,950,,
0.001,67399,,67500,49.68214416503906,,,,0.15927281975746155,,-47.265443440000006,100.0
0.001,67499,-42.740800300000004,67600,49.951961517333984,100.0,676,70,0.22829531133174896,956,,
0.001,67899,,68000,49.91310501098633,,,,0.20341332256793976,,-48.59483480000001,100.0
,,-42.90436972,68000,,100.0,680,70,,963,,
0.001,68299,-43.01938873,68400,50.13542175292969,100.0,684,70,0.13390439748764038,965,,
0.001,68399,,68500,49.73664093017578,,,,0.15063725411891937,,-46.726309119999996,100.0
0.001,68699,-43.40464319000001,68800,49.61247253417969,100.0,688,70,0.1402810513973236,971,,
0.001,68899,,69000,49.90557861328125,,,,0.17788401246070862,,-45.71577630000001,100.0
0.001,69099,-43.26182907,69200,49.596900939941406,100.0,692,70,0.13549160957336426,978,,
