time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
168,54642,3660,56.344343319999986,324,14.95,54541,0.07907663285732269,-25.102306365966797,0.001,,
168,54702,3664,56.30990027,325,14.95,54601,0.0877743661403656,-27.82766342163086,0.001,,
168,54762,3668,56.302309060000006,325,14.95,54661,0.26264524459838867,-25.765117645263672,0.001,,
168,54822,3672,56.29299074000001,325,14.95,54721,0.20367543399333954,-24.857818603515625,0.001,,
168,54881,3676,56.242767400000005,326,14.94,54780,0.43627533316612244,-25.377269744873047,0.001,,
168,54941,3680,56.25255599,326,14.94,54840,0.10572894662618637,-24.439891815185547,0.001,,
,55000,,,,,54899,0.19813896715641022,-25.064163208007812,0.001,14.96,56.25917683999999
167,55000,3684,56.19805504,327,14.93,,,,,,
167,55060,3688,56.200284979999985,328,14.93,54959,0.3549720346927643,-23.981401443481445,0.001,,
167,55119,3692,56.13731368,328,14.92,55018,0.5866408348083496,-25.715389251708984,0.001,,
167,55179,3696,56.137367600000005,328,14.92,55078,0.06119392439723015,-24.899181365966797,0.001,,
167,55239,3700,56.13029478999999,329,14.92,55138,0.246915802359581,-26.468246459960938,0.001,,
167,55299,3704,56.112683559999994,329,14.92,55198,0.21516475081443787,-26.480112075805664,0.001,,
167,55359,3708,56.197043709999996,329,14.94,55258,0.09149692207574844,-24.513742446899414,0.001,,
167,55419,3712,56.17490161999999,330,14.94,55318,0.2332022488117218,-24.99997329711914,0.001,,
167,55479,3716,56.18338070000001,330,14.94,55378,0.23072278499603271,-24.241369247436523,0.001,,
,55500,,,,,55399,0.5912010073661804,-26.798582077026367,0.001,14.96,56.25917683999999
167,55538,3720,56.128463960000005,331,14.93,55437,0.40314042568206787,-25.767431259155273,0.001,,
167,55597,3724,56.09716214,332,14.92,55496,0.6590900421142578,-26.019926071166992,0.001,,
167,55657,3728,56.186750290000006,332,14.93,55556,0.5413508415222168,-24.2709903717041,0.001,,
167,55716,3732,56.11489025,332,14.92,55615,0.3830908536911011,-25.99676513671875,0.001,,
167,55776,3736,56.076651850000005,333,14.92,55675,0.052960172295570374,-25.011714935302734,0.001,,
167,55836,3740,56.08330887000001,333,14.92,55735,0.07021947205066681,-24.578935623168945,0.001,,
167,55896,3744,56.10395962000001,333,14.92,55795,0.25019145011901855,-25.423423767089844,0.001,,
167,55956,3748,56.110684450000015,334,14.93,55855,0.39146414399147034,-25.89919662475586,0.001,,
,56000,,,,,55899,0.22220078110694885,-25.98743438720703,0.001,14.96,56.25917683999999
167,56015,3752,56.04392987,335,14.92,55914,0.09579785168170929,-25.930011749267578,0.001,,
167,56074,3756,56.036950929999996,335,14.92,55973,0.11001619696617126,-26.443069458007812,0.001,,
167,56133,3760,55.97201662,335,14.91,56032,0.05200696364045143,-24.921152114868164,0.001,,
167,56193,3764,55.96813614,336,14.91,56092,0.20099124312400818,-25.151329040527344,0.001,,
167,56252,3768,55.89988532,336,14.9,56151,0.25460085272789,-27.165611267089844,0.001,,
167,56312,3772,55.87150173,336,14.9,56211,0.3759166896343231,-25.13026237487793,0.001,,
167,56371,3776,55.903965879999994,337,14.9,56270,0.07802608609199524,-24.03079605102539,0.001,,
167,56431,3780,55.8910135,337,14.9,56330,0.23241250216960907,-27.381486892700195,0.001,,
167,56491,3784,55.94381788,337,14.91,56390,0.3007332384586334,-25.683185577392578,0.001,,
,56500,,,,,56399,0.4468591511249542,-23.732330322265625,0.001,14.96,56.25917683999999
166,56551,3788,55.964804580000006,339,14.91,56450,0.374305784702301,-24.831933975219727,0.001,,
166,56611,3792,56.00789936,339,14.92,56510,0.22748011350631714,-24.33655548095703,0.001,,
166,56671,3796,56.025298979999995,339,14.92,56570,0.3530948758125305,-25.354143142700195,0.001,,
166,56731,3800,56.047293139999994,340,14.92,56630,0.08342652022838593,-25.646631240844727,0.001,,
166,56789,3804,55.96375527000001,340,14.9,56688,0.43799087405204773,-25.75942039489746,0.001,,
166,56849,3808,55.95801595000001,340,14.9,56748,0.3864057660102844,-26.797225952148438,0.001,,
166,56909,3812,55.96284901,341,14.9,56808,0.07156690955162048,-25.78621482849121,0.001,,
166,56969,3816,55.94310943000001,341,14.9,56868,0.20162667334079742,-22.889930725097656,0.001,,
,57000,,,,,56899,0.22097903490066528,-23.769990921020508,0.001,14.96,56.25917683999999
166,57029,3820,55.990804870000005,342,14.91,56928,0.20195190608501434,-24.294422149658203,0.001,,
166,57089,3824,56.03233953999998,343,14.92,56988,0.2289608120918274,-24.323837280273438,0.001,,
166,57148,3828,55.96174912000001,343,14.91,57047,0.1834183633327484,-24.960227966308594,0.001,,
166,57208,3832,56.033000619999996,343,14.92,57107,0.5265073776245117,-26.28702163696289,0.001,,
166,57268,3836,56.066630610000004,344,14.92,57167,0.22821907699108124,-26.222850799560547,0.001,,
166,57328,3840,56.05551822,344,14.92,57227,0.21594548225402832,-26.113388061523438,0.001,,
166,57387,3844,55.95454526000001,344,14.91,57286,0.28909000754356384,-26.70645523071289,0.001,,
166,57447,3848,56.00002886,345,14.91,57346,0.640228271484375,-25.500320434570312,0.001,,
,57500,,,,,57399,0.19951550662517548,-24.66829490661621,0.001,14.96,56.25917683999999
166,57507,3852,56.08352075999999,346,14.92,57406,0.03583976626396179,-26.23845863342285,0.001,,
166,57567,3856,56.15163002000001,346,14.93,57466,0.05677610635757446,-25.08763885498047,0.001,,
166,57625,3860,56.097663159999996,346,14.92,57524,0.382811039686203,-26.671783447265625,0.001,,
166,57685,3864,56.11463290999999,347,14.92,57584,0.23221591114997864,-25.745834350585938,0.001,,
166,57745,3868,56.16149023,347,14.93,57644,0.3434687852859497,-24.316617965698242,0.001,,
166,57805,3872,56.2126688,347,14.93,57704,0.34428101778030396,-25.120344161987305,0.001,,
166,57865,3876,56.23248783,348,14.94,57764,0.09526143968105316,-24.201217651367188,0.001,,
166,57925,3880,56.24807057,348,14.94,57824,0.32417166233062744,-24.51551628112793,0.001,,
166,57984,3884,56.18754508,348,14.93,57883,0.11247098445892334,-26.20815086364746,0.001,,
,58000,,,,,57899,0.1230790987610817,-24.239145278930664,0.001,14.96,56.25917683999999
165,58044,3888,56.15055697999999,349,14.93,57943,0.2715635895729065,-26.508512496948242,0.001,,
165,58104,3892,56.18147553,350,14.93,58003,0.34922873973846436,-26.442129135131836,0.001,,
165,58164,3896,56.19215402,350,14.93,58063,0.49989473819732666,-24.694351196289062,0.001,,
165,58223,3900,56.14585717999999,350,14.92,58122,0.05413071811199188,-25.79800796508789,0.001,,
165,58283,3904,56.22102812000001,351,14.94,58182,0.22356636822223663,-25.473676681518555,0.001,,
165,58343,3908,56.23666411999999,351,14.94,58242,0.534008264541626,-25.19594955444336,0.001,,
165,58403,3912,56.22503027,352,14.94,58302,0.12964795529842377,-26.52147674560547,0.001,,
165,58462,3916,56.18669005999999,352,14.93,58361,0.49629127979278564,-24.724456787109375,0.001,,
,58500,,,,,58399,0.09036213159561157,-23.81410026550293,0.001,14.96,56.25917683999999
165,58521,3920,56.12965015,353,14.92,58420,0.39625489711761475,-25.55526351928711,0.001,,
165,58579,3924,56.03358495,353,14.9,58478,0.2447586953639984,-25.434368133544922,0.001,,
165,58637,3928,55.96933959,354,14.89,58536,0.33829227089881897,-27.00674819946289,0.001,,
165,58697,3932,55.95789406,354,14.89,58596,0.08240561187267303,-25.094839096069336,0.001,,
165,58757,3936,55.96455589,354,14.89,58656,0.20883551239967346,-25.483287811279297,0.001,,
165,58817,3940,55.94851426,355,14.89,58716,0.154881551861763,-26.030094146728516,0.001,,
165,58877,3944,56.01416823999999,355,14.9,58776,0.1700754463672638,-24.70992660522461,0.001,,
165,58937,3948,55.99355085,355,14.9,58836,0.18363407254219055,-25.144786834716797,0.001,,
165,58997,3952,55.96613844,356,14.9,58896,0.5538346171379089,-23.66427993774414,0.001,,
,59000,,,,,58899,0.047048330307006836,-24.19335174560547,0.001,14.96,56.25917683999999
165,59057,3956,55.95650815000001,357,14.9,58956,0.22668999433517456,-24.28702163696289,0.001,,
165,59117,3960,56.068097189999996,357,14.92,59016,0.09605567902326584,-24.475631713867188,0.001,,
165,59175,3964,55.976114339999995,357,14.9,59074,0.10757991671562195,-25.448076248168945,0.001,,
