rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
-8.783166349999998,100,50.0,0.027134522795677185,0.001,167,9.362577438354492,16699,16800,336,,
,,,0.028985921293497086,0.001,,9.399354934692383,16899,17000,,50.0,-8.53561834
-8.719620260000001,99,50.0,,,171,,,17000,340,,
-8.587137720000001,99,50.0,0.02843918651342392,0.001,172,9.519941329956055,17099,17200,344,,
-8.455881219999998,100,50.0,0.03582455962896347,0.001,173,9.640987396240234,17299,17400,348,,
,,,0.029692508280277252,0.001,,9.557109832763672,17399,17500,,50.0,-8.05718192
-8.34542134,99,50.0,0.025932691991329193,0.001,176,9.65166187286377,17499,17600,352,,
-8.19380995,100,50.0,0.031016238033771515,0.001,177,9.692450523376465,17699,17800,356,,
,,,0.04165177047252655,0.001,,9.770685195922852,17899,18000,,50.0,-8.1276425
-8.19537152,99,50.0,,,181,,,18000,360,,
-8.13410541,99,50.0,0.022566020488739014,0.001,182,9.845346450805664,18099,18200,364,,
-8.11909097,100,50.0,0.029638811945915222,0.001,183,9.902090072631836,18299,18400,368,,
,,,0.025405380874872208,0.001,,9.841279029846191,18399,18500,,50.0,-7.944938340000001
-8.12363467,99,50.0,0.033505119383335114,0.001,186,9.973054885864258,18499,18600,372,,
-8.03658392,100,50.0,0.030320744961500168,0.001,187,9.999252319335938,18699,18800,376,,
,,,0.029574068263173103,0.001,,9.94192123413086,18899,19000,,50.0,-7.844610819999999
-7.8926605400000005,99,50.0,,,190,,,19000,380,,
-7.845718590000001,99,50.0,0.04016128182411194,0.001,192,10.163013458251953,19099,19200,384,,
-7.8065538000000005,100,50.0,0.023401696234941483,0.001,193,10.195996284484863,19299,19400,388,,
,,,0.04243192821741104,0.001,,10.169300079345703,19399,19500,,50.0,-8.24337746
-7.756553590000001,99,50.0,0.03143959864974022,0.001,196,10.153651237487793,19499,19600,392,,
-7.71869108,100,50.0,0.029387257993221283,0.001,197,10.276250839233398,19699,19800,396,,
,,,0.033723071217536926,0.001,,10.435842514038086,19899,20000,,50.0,-8.28656998
-7.54742222,99,50.0,,,200,,,20000,400,,
-7.554599209999999,100,50.0,0.02385902777314186,0.001,201,10.493621826171875,20099,20200,404,,
-7.526123709999999,100,50.0,0.03006179817020893,0.001,203,10.439821243286133,20299,20400,408,,
,,,0.034784186631441116,0.001,,10.531563758850098,20399,20500,,50.0,-8.17143568
-7.53840455,99,50.0,0.036343857645988464,0.001,206,10.43830680847168,20499,20600,412,,
-7.573394539999999,100,50.0,0.030779320746660233,0.001,207,10.503904342651367,20699,20800,416,,
,,,0.03860476613044739,0.001,,10.531972885131836,20899,21000,,50.0,-8.005021999999999
-7.66198554,99,50.0,,,210,,,21000,420,,
-7.622356149999999,99,50.0,0.02717771753668785,0.001,212,10.738800048828125,21099,21200,424,,
-7.557318759999999,100,50.0,0.039907537400722504,0.001,213,10.781112670898438,21299,21400,428,,
,,,0.030851289629936218,0.001,,10.814962387084961,21399,21500,,50.0,-8.1874658
-7.564348519999999,99,50.0,0.03765729069709778,0.001,216,10.876267433166504,21499,21600,432,,
-7.518276430000001,100,50.0,0.03828989714384079,0.001,217,10.891921997070312,21699,21800,436,,
,,,0.03299172222614288,0.001,,10.964193344116211,21899,22000,,50.0,-8.03276804
-7.52854912,99,50.0,,,221,,,22000,440,,
-7.521351469999998,99,50.0,0.04059826582670212,0.001,222,10.864960670471191,22099,22200,444,,
-7.49038587,100,50.0,0.04398365318775177,0.001,223,10.844067573547363,22299,22400,448,,
,,,0.04295383766293526,0.001,,11.075860977172852,22399,22500,,50.0,-7.781490599999999
-7.5152094499999995,99,50.0,0.04592302814126015,0.001,226,10.986418724060059,22499,22600,452,,
-7.512889860000001,100,50.0,0.03727477416396141,0.001,227,11.142203330993652,22699,22800,456,,
,,,0.04038575664162636,0.001,,11.037782669067383,22899,23000,,50.0,-7.8033211399999995
-7.480331690000001,99,50.0,,,231,,,23000,460,,
-7.394784259999999,99,50.0,0.03831186890602112,0.001,232,11.342714309692383,23099,23200,464,,
-7.32839044,100,50.0,0.03427141532301903,0.001,233,11.369675636291504,23299,23400,468,,
,,,0.03272185102105141,0.001,,11.38741683959961,23399,23500,,50.0,-7.82981148
-7.29770308,99,50.0,0.04152500256896019,0.001,236,11.457107543945312,23499,23600,472,,
-7.4299220800000025,99,50.0,0.029903586953878403,0.001,238,11.416563987731934,23699,23800,476,,
,,,0.03885040804743767,0.001,,11.52450942993164,23899,24000,,50.0,-7.390660280000002
