time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
268,0.014271913096308708,-1.1246284246444702,36,0.0003,100.0,26800,730,25.461650848388672,26699,0.008345501497387886,-43.15260140999999,,
,0.013388381339609623,0.6322540640830994,,0.0003,,27000,,25.69838523864746,26899,0.008347881026566029,,100.0,-40.39668194
272,0.015797710046172142,-0.684566855430603,36,0.0003,100.0,27200,743,25.984920501708984,27099,0.008380410261452198,-42.63817897999999,,
,0.02140207588672638,1.8261356353759766,,0.0003,,27500,,26.210540771484375,27399,0.008416002616286278,,100.0,-39.060278319999995
276,0.018785206601023674,-0.07511276751756668,36,0.0003,100.0,27600,755,26.22738265991211,27499,0.008430365473031998,-42.69820294,,
,0.01712379977107048,-0.2586047649383545,,0.0003,,28000,,25.999603271484375,27899,0.008414926938712597,,100.0,-38.78744552
280,,,36,,100.0,28000,768,,,,-42.88586007,,
284,0.016392724588513374,-0.0007333457469940186,36,0.0003,100.0,28400,773,26.81612777709961,28299,0.00846125092357397,-42.91661557,,
,0.01555410586297512,1.0020592212677002,,0.0003,,28500,,27.260597229003906,28399,0.008493890054523945,,100.0,-39.78741792
288,0.01723267138004303,-0.9990599155426025,36,0.0003,100.0,28800,785,27.55947494506836,28699,0.00850771926343441,-42.78989825000001,,
,0.01753753423690796,-0.3582437336444855,,0.0003,,29000,,27.08976936340332,28899,0.008458903059363365,,100.0,-45.845022019999995
292,0.012598391622304916,-0.3501672148704529,36,0.0003,100.0,29200,798,27.570695877075195,29099,0.008504770696163177,-43.10403349000001,,
,0.018558688461780548,0.9183440208435059,,0.0003,,29500,,27.63949966430664,29399,0.0084608793258667,,100.0,-45.49704448000001
296,0.017879242077469826,0.24968475103378296,36,0.0003,100.0,29600,810,28.138370513916016,29499,0.008462348021566868,-43.33268270000001,,
,0.013655196875333786,-1.6540966033935547,,0.0003,,30000,,28.01438331604004,29899,0.008509013801813126,,100.0,-41.5242863
300,,,36,,100.0,30000,822,,,,-43.481372820000004,,
304,0.013109497725963593,0.17321191728115082,36,0.0003,100.0,30400,827,28.66735076904297,30299,0.00846077874302864,-43.30476226000002,,
,0.013045740313827991,0.11288191378116608,,0.0003,,30500,,28.65741539001465,30399,0.008465996943414211,,100.0,-42.46270168
308,0.017318623140454292,-0.8723106384277344,36,0.0003,100.0,30800,840,28.92193603515625,30699,0.008530094288289547,-43.630905709999986,,
,0.014075148850679398,-1.0916895866394043,,0.0003,,31000,,28.77436065673828,30899,0.00846637599170208,,100.0,-44.068416260000006
312,0.015034536831080914,0.10347199440002441,36,0.0003,100.0,31200,852,29.17055892944336,31099,0.00845285877585411,-43.84927745,,
,0.017350422218441963,-0.4389972984790802,,0.0003,,31500,,29.191761016845703,31399,0.008450384251773357,,100.0,-43.40665102
316,0.013204263523221016,0.9944369792938232,36,0.0003,100.0,31600,865,29.384050369262695,31499,0.008410266600549221,-43.86396013999999,,
,0.015445506200194359,-0.714400053024292,,0.0003,,32000,,29.184635162353516,31899,0.008356109261512756,,100.0,-42.89871480000001
320,,,36,,100.0,32000,877,,,,-43.71050427,,
324,0.016083836555480957,-0.7710806131362915,36,0.0003,100.0,32400,883,30.223526000976562,32299,0.008303544484078884,-43.5535623,,
,0.01884361170232296,-0.08102521300315857,,0.0003,,32500,,30.394474029541016,32399,0.008293936029076576,,100.0,-43.487280319999996
328,0.021480463445186615,-0.2573986053466797,36,0.0003,100.0,32800,895,30.172607421875,32699,0.008296234533190727,-43.40759313,,
,0.014034388586878777,-1.7863974571228027,,0.0003,,33000,,30.797164916992188,32899,0.008275523781776428,,100.0,-41.116435419999995
332,0.019673556089401245,-0.0951971709728241,36,0.0003,100.0,33200,907,30.566919326782227,33099,0.008230691775679588,-43.136793479999994,,
,0.01811218447983265,0.7848533391952515,,0.0003,,33500,,30.701732635498047,33399,0.008234566077589989,,100.0,-39.778715420000005
336,0.014224467799067497,0.9314448833465576,36,0.0003,100.0,33600,920,30.750404357910156,33499,0.008228270336985588,-43.11324158,,
,0.013619053177535534,-2.4785549640655518,,0.0003,,34000,,30.95077896118164,33899,0.008334358222782612,,100.0,-41.157502259999994
340,,,36,,100.0,34000,933,,,,-43.19552546,,
344,0.018233772367239,1.0064891576766968,36,0.0003,100.0,34400,938,31.53243637084961,34299,0.0082568833604455,-43.43458702000001,,
,0.012952783145010471,0.09549367427825928,,0.0003,,34500,,31.335769653320312,34399,0.008252686820924282,,100.0,-38.54155074
348,0.01714291423559189,-1.4266878366470337,36,0.0003,100.0,34800,951,31.59091567993164,34699,0.008302997797727585,-43.459665000000015,,
,0.018756605684757233,0.7578942775726318,,0.0003,,35000,,32.101646423339844,34899,0.008215375244617462,,100.0,-40.64862684
352,0.019775263965129852,0.2604309320449829,36,0.0003,100.0,35200,963,31.938074111938477,35099,0.008171996101737022,-43.37049679999999,,
,0.02109600231051445,1.9126555919647217,,0.0003,,35500,,32.01093673706055,35399,0.008096717298030853,,100.0,-40.81822166
356,0.01971583440899849,0.3113703727722168,36,0.0003,100.0,35600,976,32.14881896972656,35499,0.008092953823506832,-43.65952693000001,,
,0.021941354498267174,2.248101234436035,,0.0003,,36000,,32.74137496948242,35899,0.00805217120796442,,100.0,-47.28557680000001
360,,,36,,100.0,36000,988,,,,-43.50071006999999,,
364,0.02100081369280815,-3.1143245697021484,36,0.0003,100.0,36400,993,32.67731857299805,36299,0.008027167990803719,-43.85198100999999,,
,0.01661996729671955,-0.9487321972846985,,0.0003,,36500,,32.596614837646484,36399,0.008009449578821659,,100.0,-42.62093748
368,0.02195235714316368,0.5316422581672668,36,0.0003,100.0,36800,1005,33.114105224609375,36699,0.008024132810533047,-43.89290316,,
,0.024431847035884857,1.1886026859283447,,0.0003,,37000,,32.87757110595703,36899,0.00798543356359005,,100.0,-40.30308222
372,0.019298532977700233,0.5212756395339966,36,0.0003,100.0,37200,1018,32.69829177856445,37099,0.008021979592740536,-44.37258860000001,,
,0.021457774564623833,0.5676923394203186,,0.0003,,37500,,33.21247100830078,37399,0.008027991279959679,,100.0,-39.69151446
376,0.0234784334897995,0.19982677698135376,36,0.0003,100.0,37600,1031,33.3525390625,37499,0.008033623918890953,-44.38128605,,
,0.02789306640625,-0.2664962708950043,,0.0003,,38000,,33.34822082519531,37899,0.008095725439488888,,100.0,-41.81911766
380,,,36,,100.0,38000,1043,,,,-44.12380115,,
384,0.021510619670152664,-0.5647799968719482,36,0.0003,100.0,38400,1048,33.154727935791016,38299,0.008200867101550102,-44.16845007999999,,
,0.022632502019405365,-1.1284677982330322,,0.0003,,38500,,33.03813171386719,38399,0.008231347426772118,,100.0,-40.56241414
388,0.01910821720957756,1.2510044574737549,36,0.0003,100.0,38800,1060,33.35105514526367,38699,0.008207227103412151,-44.27616746999998,,
,0.01769942417740822,-0.8745124340057373,,0.0003,,39000,,33.760093688964844,38899,0.008248493075370789,,100.0,-42.9774647
392,0.02130810171365738,3.0499935150146484,36,0.0003,100.0,39200,1073,33.7613410949707,39099,0.008269752375781536,-44.244309429999994,,
,0.022705312818288803,-0.817209780216217,,0.0003,,39500,,33.769004821777344,39399,0.008260242640972137,,100.0,-42.0479235
396,0.026789303869009018,-2.079866409301758,36,0.0003,100.0,39600,1086,33.77375793457031,39499,0.008240225724875927,-44.06328246000001,,
,0.018437661230564117,2.0401382446289062,,0.0003,,40000,,33.85755157470703,39899,0.008195925503969193,,100.0,-41.72763536
400,,,36,,100.0,40000,1098,,,,-44.00467048,,
404,0.020315028727054596,0.7667033672332764,36,0.0003,100.0,40400,1103,34.02928161621094,40299,0.008136097341775894,-43.9962071,,
,0.022128518670797348,-0.4917878210544586,,0.0003,,40500,,33.83068084716797,40399,0.008144310675561428,,100.0,-41.68271732
408,0.02497873082756996,2.151994228363037,36,0.0003,100.0,40800,1116,34.18878173828125,40699,0.008069616742432117,-43.662056400000004,,
,0.019106127321720123,1.2116038799285889,,0.0003,,41000,,33.68865966796875,40899,0.008146737702190876,,100.0,-42.277115720000005
412,0.021634791046380997,1.928865671157837,36,0.0003,100.0,41200,1128,34.321983337402344,41099,0.008164681494235992,-43.21088330999999,,
,0.02092583477497101,0.3528498411178589,,0.0003,,41500,,34.198856353759766,41399,0.008210801519453526,,100.0,-42.86644392
