time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
,28899,0.00814750324934721,0.0003,,29000,0.013904323801398277,,,27.40899085998535,,0.7741420269012451,100.0,-40.69592976
794,29099,0.008171391673386097,0.0003,-42.818728619999995,29200,0.015513441525399685,100.0,292,27.407670974731445,36,-0.8560522198677063,,
,29399,0.0081800427287817,0.0003,,29500,0.014950123615562916,,,27.451629638671875,,0.8613987565040588,100.0,-40.325165319999996
806,29499,0.008184638805687428,0.0003,-42.67464637000001,29600,0.015361527912318707,100.0,296,27.67422103881836,36,-0.05832266807556152,,
,29899,0.00814879685640335,0.0003,,30000,0.013365020044147968,,,28.014480590820312,,0.4907010793685913,100.0,-40.76334646
818,,,,-42.87525043999999,30000,,100.0,300,,36,,,
824,30299,0.008181438781321049,0.0003,-43.06651137,30400,0.013733751140534878,100.0,304,28.224702835083008,36,-0.26085394620895386,,
,30399,0.008211400359869003,0.0003,,30500,0.018934793770313263,,,28.201793670654297,,-1.6860307455062866,100.0,-42.22053086
836,30699,0.008213464170694351,0.0003,-43.13909061999999,30800,0.02095814235508442,100.0,308,28.62650489807129,36,-1.555382251739502,,
,30899,0.008250771090388298,0.0003,,31000,0.01730300858616829,,,28.959110260009766,,1.0978485345840454,100.0,-41.751215779999995
849,31099,0.008251943625509739,0.0003,-43.07913481,31200,0.013809053227305412,100.0,312,28.871623992919922,36,-0.0610642284154892,,
,31399,0.008240988478064537,0.0003,,31500,0.014187189750373363,,,29.0596981048584,,-1.3630815744400024,100.0,-42.75874092000001
861,31499,0.008206679485738277,0.0003,-42.99708822999999,31600,0.015089206397533417,100.0,316,29.69281005859375,36,1.6185261011123657,,
,31899,0.008206840604543686,0.0003,,32000,0.014906402677297592,,,29.598194122314453,,0.45954445004463196,100.0,-41.23151782
873,,,,-43.16995655999999,32000,,100.0,320,,36,,,
878,32299,0.008182855322957039,0.0003,-43.057605759999994,32400,0.01299537718296051,100.0,324,29.975475311279297,36,0.03470921516418457,,
,32399,0.00818970613181591,0.0003,,32500,0.016681883484125137,,,30.113977432250977,,-2.481884479522705,100.0,-41.536013700000005
891,32699,0.008142123930156231,0.0003,-43.2500967,32800,0.018262753263115883,100.0,328,30.21040153503418,36,2.384751796722412,,
,32899,0.008113064803183079,0.0003,,33000,0.019837893545627594,,,30.55282211303711,,1.9170925617218018,100.0,-41.39149764
903,33099,0.008154183626174927,0.0003,-43.23020858000002,33200,0.014841984957456589,100.0,332,30.767913818359375,36,-1.6192119121551514,,
,33399,0.008112245239317417,0.0003,,33500,0.0174008309841156,,,30.782241821289062,,-2.711195945739746,100.0,-43.271500079999996
916,33499,0.008078102022409439,0.0003,-43.02192583,33600,0.018042724579572678,100.0,336,30.94045066833496,36,0.030416518449783325,,
,33899,0.008015700615942478,0.0003,,34000,0.017363253980875015,,,30.87405014038086,,1.1348419189453125,100.0,-40.326057660000004
928,,,,-43.031999410000005,34000,,100.0,340,,36,,,
933,34299,0.008043873123824596,0.0003,-43.087866379999994,34400,0.01352250948548317,100.0,344,30.844345092773438,36,0.389836847782135,,
,34399,0.008037002757191658,0.0003,,34500,0.020767077803611755,,,31.139789581298828,,-1.0509793758392334,100.0,-41.628353559999994
945,34699,0.008034458383917809,0.0003,-43.17532548,34800,0.022797299548983574,100.0,348,31.305381774902344,36,-0.08619248867034912,,
,34899,0.008059296756982803,0.0003,,35000,0.01602310687303543,,,31.605274200439453,,0.24907010793685913,100.0,-42.2194161
958,35099,0.008100795559585094,0.0003,-43.26422203000001,35200,0.01524087879806757,100.0,352,31.593975067138672,36,0.5371911525726318,,
,35399,0.008123911917209625,0.0003,,35500,0.01755012571811676,,,31.62267303466797,,-0.14765560626983643,100.0,-40.895810659999995
970,35499,0.008122130297124386,0.0003,-43.299631479999995,35600,0.01588001661002636,100.0,356,31.291540145874023,36,-0.9985698461532593,,
,35899,0.00815456174314022,0.0003,,36000,0.016794782131910324,,,32.15498352050781,,0.4198676347732544,100.0,-43.010900939999985
983,,,,-43.323458990000006,36000,,100.0,360,,36,,,
988,36299,0.008105505257844925,0.0003,-43.47880834999999,36400,0.01417490839958191,100.0,364,32.303470611572266,36,0.9744634628295898,,
,36399,0.008152663707733154,0.0003,,36500,0.015367183834314346,,,32.517730712890625,,0.9547551870346069,100.0,-42.498781019999996
1000,36699,0.008217530325055122,0.0003,-43.83393323999999,36800,0.014983197674155235,100.0,368,32.567771911621094,36,-0.1223686933517456,,
,36899,0.008234989829361439,0.0003,,37000,0.019237414002418518,,,32.63568878173828,,1.3239704370498657,100.0,-41.80731720000001
1012,37099,0.008295581676065922,0.0003,-43.93293151999999,37200,0.018338480964303017,100.0,372,32.61663818359375,36,-0.20534928143024445,,
,37399,0.008322499692440033,0.0003,,37500,0.016512833535671234,,,32.441585540771484,,-1.443801760673523,100.0,-42.19138628
1025,37499,0.008311261422932148,0.0003,-44.30233838999999,37600,0.029437962919473648,100.0,376,32.878875732421875,36,-0.8803901672363281,,
,37899,0.008304701186716557,0.0003,,38000,0.018928231671452522,,,33.10206604003906,,2.11572265625,100.0,-42.61021124
1037,,,,-44.33271190000001,38000,,100.0,380,,36,,,
1042,38299,0.008376562967896461,0.0003,-44.575686649999994,38400,0.01941203698515892,100.0,384,33.304325103759766,36,0.33809658885002136,,
,38399,0.008342302404344082,0.0003,,38500,0.017764786258339882,,,33.5265007019043,,1.4398934841156006,100.0,-43.52336869999999
1054,38699,0.00839784275740385,0.0003,-44.89074973000001,38800,0.01635057106614113,100.0,388,33.50529098510742,36,1.925731897354126,,
,38899,0.008442091755568981,0.0003,,39000,0.014194631017744541,,,33.38987731933594,,1.28061044216156,100.0,-44.10055408
1067,39099,0.008377796970307827,0.0003,-44.83684826999999,39200,0.02801683358848095,100.0,392,33.79374694824219,36,0.014842167496681213,,
,39399,0.008435307070612907,0.0003,,39500,0.021762358024716377,,,34.227577209472656,,-1.4980231523513794,100.0,-40.25993964
1079,39499,0.008419719524681568,0.0003,-45.24066740999999,39600,0.02152952179312706,100.0,396,33.85087966918945,36,-0.621654748916626,,
,39899,0.008390846662223339,0.0003,,40000,0.020938336849212646,,,34.07002258300781,,1.7841792106628418,100.0,-42.56140546
1091,,,,-45.19812750999999,40000,,100.0,400,,36,,,
1096,40299,0.008434318006038666,0.0003,-45.18833249,40400,0.02592427283525467,100.0,404,34.31047821044922,36,0.048721134662628174,,
,40399,0.008383247070014477,0.0003,,40500,0.01713857240974903,,,34.03248977661133,,-0.1340501606464386,100.0,-42.47317632
1109,40699,0.008391158655285835,0.0003,-45.200547990000004,40800,0.019954640418291092,100.0,408,34.46031188964844,36,-1.138100266456604,,
,40899,0.008380129933357239,0.0003,,41000,0.014576009474694729,,,34.20284652709961,,0.99223393201828,100.0,-42.08707926
