rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-43.95445085,47099,44.74938201904297,616,0.001,472,47200,100.0,76,0.09816443175077438,,
,47399,44.66770935058594,,0.001,,47500,,,0.09861427545547485,-50.77173688,100.0
-44.091217189999995,47499,44.87492370605469,622,0.001,476,47600,100.0,76,0.09982551634311676,,
,47899,45.013038635253906,,0.001,,48000,,,0.1242985650897026,-44.79325286000001,100.0
-44.1918372,,,628,,480,48000,100.0,76,,,
-43.91507916999999,48299,45.07524108886719,630,0.001,484,48400,100.0,76,0.1018170639872551,,
,48399,45.10237121582031,,0.001,,48500,,,0.1230795755982399,-44.09965538,100.0
-43.84136043999999,48699,45.37668228149414,636,0.001,488,48800,100.0,76,0.09706662595272064,,
,48899,44.9857063293457,,0.001,,49000,,,0.09925748407840729,-43.64447989999999,100.0
-43.515579349999996,49099,45.58338928222656,642,0.001,492,49200,100.0,76,0.10188041627407074,,
,49399,45.50386047363281,,0.001,,49500,,,0.10558255016803741,-45.188824200000006,100.0
-43.994541039999994,49499,45.66912078857422,649,0.001,496,49600,100.0,76,0.0931982547044754,,
,49899,45.54828643798828,,0.001,,50000,,,0.09583202004432678,-43.6202133,100.0
-44.056666770000014,,,655,,500,50000,100.0,76,,,
-43.56468546999999,50299,45.762794494628906,657,0.001,504,50400,100.0,76,0.06740902364253998,,
,50399,46.21071243286133,,0.001,,50500,,,0.09356285631656647,-44.20098994,100.0
-43.69102748000001,50699,45.81964111328125,663,0.001,508,50800,100.0,76,0.08246296644210815,,
,50899,45.782127380371094,,0.001,,51000,,,0.08366751670837402,-44.80070839999999,100.0
-43.62919135999999,51099,45.65679931640625,669,0.001,512,51200,100.0,76,0.10551775991916656,,
,51399,46.01697540283203,,0.001,,51500,,,0.0744919627904892,-43.81560922,100.0
-43.23257265,51499,46.01396179199219,675,0.001,516,51600,100.0,76,0.11212527751922607,,
,51899,46.227134704589844,,0.001,,52000,,,0.08131061494350433,-44.05888116,100.0
-43.148907799999996,,,681,,520,52000,100.0,76,,,
-43.338400459999995,52299,46.494590759277344,683,0.001,524,52400,100.0,76,0.06845703721046448,,
,52399,46.5107536315918,,0.001,,52500,,,0.09340561926364899,-44.37785682,100.0
-43.44726220999999,52699,46.694366455078125,689,0.001,528,52800,100.0,76,0.07227998971939087,,
,52899,46.82154083251953,,0.001,,53000,,,0.05474187433719635,-43.50598422,100.0
-43.50225176,53099,47.14154052734375,695,0.001,532,53200,100.0,76,0.0822272002696991,,
,53399,47.25369644165039,,0.001,,53500,,,0.09594415128231049,-43.46930322000001,100.0
-43.32653398999999,53499,47.010353088378906,701,0.001,536,53600,100.0,76,0.0855046734213829,,
,53899,46.99310302734375,,0.001,,54000,,,0.08035149425268173,-43.43115984000001,100.0
-43.348499430000004,,,707,,540,54000,100.0,76,,,
-43.24659471999998,54299,47.67683792114258,709,0.001,544,54400,100.0,76,0.09047839045524597,,
,54399,47.90747833251953,,0.001,,54500,,,0.07878752052783966,-44.25766848,100.0
-43.47520647,54699,47.25415802001953,715,0.001,548,54800,100.0,76,0.07567308843135834,,
,54899,47.71784210205078,,0.001,,55000,,,0.1098647266626358,-42.324379119999996,100.0
-43.56394763,55099,47.73960876464844,721,0.001,552,55200,100.0,76,0.09138433635234833,,
,55399,48.02579116821289,,0.001,,55500,,,0.08754622936248779,-44.2588479,100.0
-43.68884316,55499,47.62145233154297,727,0.001,556,55600,100.0,76,0.09740911424160004,,
,55899,48.03138732910156,,0.001,,56000,,,0.11056828498840332,-44.9702013,100.0
-43.80107101000001,,,734,,560,56000,100.0,76,,,
-43.84252011,56299,48.197418212890625,736,0.001,564,56400,100.0,76,0.10867594182491302,,
,56399,48.07918930053711,,0.001,,56500,,,0.0854051485657692,-43.06525746000001,100.0
-43.54676399,56699,47.9300537109375,742,0.001,568,56800,100.0,76,0.11810074001550674,,
,56899,48.70863342285156,,0.001,,57000,,,0.11275671422481537,-43.62136044,100.0
-43.62946925,57099,48.165687561035156,748,0.001,572,57200,100.0,76,0.1210540235042572,,
,57399,48.96940612792969,,0.001,,57500,,,0.10356079787015915,-43.805338739999996,100.0
-43.30837296000001,57499,49.02793502807617,754,0.001,576,57600,100.0,76,0.09995517134666443,,
,57899,48.3608512878418,,0.001,,58000,,,0.09508803486824036,-43.88158230000001,100.0
-43.158675970000004,,,760,,580,58000,100.0,76,,,
-43.58160704,58299,48.92200469970703,762,0.001,584,58400,100.0,76,0.1141570582985878,,
,58399,48.59712600708008,,0.001,,58500,,,0.12250736355781555,-43.53589598000001,100.0
-43.36848047,58699,49.34518814086914,768,0.001,588,58800,100.0,76,0.09923118352890015,,
,58899,49.3510627746582,,0.001,,59000,,,0.06806185841560364,-43.374398340000006,100.0
-43.36417289,59099,48.62863540649414,775,0.001,592,59200,100.0,76,0.09732568264007568,,
,59399,49.31163787841797,,0.001,,59500,,,0.08362829685211182,-44.49885278000001,100.0
-43.15088088,59499,49.06877517700195,781,0.001,596,59600,100.0,76,0.08494330942630768,,
,59899,49.04256820678711,,0.001,,60000,,,0.09513963013887405,-44.076615579999995,100.0
-42.807934599999996,,,787,,600,60000,100.0,76,,,
-43.16964328,60299,49.33384704589844,789,0.001,604,60400,100.0,76,0.11144690215587616,,
,60399,49.43965148925781,,0.001,,60500,,,0.1073007881641388,-45.085630259999995,100.0
-43.04411546,60699,49.17708206176758,795,0.001,608,60800,100.0,76,0.11826491355895996,,
,60899,49.50810623168945,,0.001,,61000,,,0.06768019497394562,-44.487878339999995,100.0
-43.052235659999994,61099,49.562278747558594,801,0.001,612,61200,100.0,76,0.10981766879558563,,
,61399,49.20030975341797,,0.001,,61500,,,0.1491386741399765,-46.09020822,100.0
-43.25211529999999,61499,49.43522644042969,807,0.001,616,61600,100.0,76,0.12809309363365173,,
,61899,49.59799575805664,,0.001,,62000,,,0.08022861182689667,-45.50743278000001,100.0
-43.532345729999996,,,813,,620,62000,100.0,76,,,
-43.53464255000001,62299,50.08948516845703,815,0.001,624,62400,100.0,76,0.10831929743289948,,
,62399,50.25028610229492,,0.001,,62500,,,0.09333240985870361,-45.9261956,100.0
-43.423261899999986,62699,49.57468795776367,821,0.001,628,62800,100.0,76,0.10536554455757141,,
,62899,49.43934631347656,,0.001,,63000,,,0.10007332265377045,-45.31154624,100.0
-43.31100132999999,63099,49.82616424560547,827,0.001,632,63200,100.0,76,0.11562782526016235,,
,63399,49.64569854736328,,0.001,,63500,,,0.08799318224191666,-55.16161196,100.0
-43.13025552000001,63499,49.9799690246582,833,0.001,636,63600,100.0,76,0.10608004033565521,,
,63899,50.43180465698242,,0.001,,64000,,,0.1435917615890503,-51.75496773999999,100.0
-42.994406749999996,,,839,,640,64000,100.0,76,,,
-43.267715550000005,64299,50.12541961669922,841,0.001,644,64400,100.0,76,0.1150825023651123,,
,64399,49.915138244628906,,0.001,,64500,,,0.1374528855085373,-45.523490179999996,100.0
-43.08805651999999,64699,50.021018981933594,847,0.001,648,64800,100.0,76,0.16260552406311035,,
,64899,50.94184112548828,,0.001,,65000,,,0.15162019431591034,-46.47308372,100.0
-43.0316705,65099,50.31381607055664,853,0.001,652,65200,100.0,76,0.13479512929916382,,
,65399,50.39209747314453,,0.001,,65500,,,0.1242496520280838,-48.34851499999999,100.0
-43.11237401999999,65499,50.06390380859375,859,0.001,656,65600,100.0,76,0.16350844502449036,,
,65899,50.710086822509766,,0.001,,66000,,,0.12879955768585205,-51.73057274000001,100.0
-43.15492042999999,,,865,,660,66000,100.0,76,,,
-43.60006222999999,66299,50.17375946044922,867,0.001,664,66400,100.0,76,0.1728050410747528,,
,66399,50.74728012084961,,0.001,,66500,,,0.12552674114704132,-46.4369114,100.0
-43.699601939999994,66699,50.59165573120117,873,0.001,668,66800,100.0,76,0.17540940642356873,,
,66899,51.35616683959961,,0.001,,67000,,,0.1522844433784485,-46.22804152,100.0
-43.974502599999994,67099,50.92863845825195,879,0.001,672,67200,100.0,76,0.1522967517375946,,
,67399,50.78651428222656,,0.001,,67500,,,0.3426373600959778,-44.1286291,100.0
-44.07589194000001,67499,51.26197814941406,885,0.001,676,67600,100.0,76,0.09853775799274445,,
,67899,51.269737243652344,,0.001,,68000,,,0.09906342625617981,-44.09984398,100.0
-44.34305376,,,891,,680,68000,100.0,76,,,
-44.39885009999999,68299,51.22076416015625,893,0.001,684,68400,100.0,76,0.10241307318210602,,
,68399,51.1731071472168,,0.001,,68500,,,0.13101673126220703,-44.5803912,100.0
