train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,31899,,,,,-9.587920188903809,32000,0.013640518300235271,1.5493957996368408,0.7649004459381104,,299.03518318000005,664.64
0.0003,32343,112,-39.57560102999999,317.27,17,-10.610845565795898,32444,0.01383949164301157,1.3578946590423584,0.6273717880249023,1896,,
0.0003,32399,,,,,-10.482421875,32500,0.013784661889076233,1.3877958059310913,0.13482236862182617,,332.20756478000004,688.98
0.0003,32899,,,,,-10.529181480407715,33000,0.01392682921141386,1.6570903062820435,0.5741775631904602,,218.46918828000003,466.02
0.0003,33399,,,,,-10.625345230102539,33500,0.013920395635068417,2.2366504669189453,0.025345444679260254,,288.85572243999997,616.3
0.0003,33899,,,,,-11.176762580871582,34000,0.014106880873441696,1.87315833568573,-0.027513936161994934,,362.05148133999995,702.6
0.0003,34399,,,,,-10.791873931884766,34500,0.014044239185750484,1.9695299863815308,-0.027044028043746948,,267.85514098,571.88
0.0003,34899,,,,,-12.068501472473145,35000,0.014214830473065376,1.7185828685760498,-1.5390286445617676,,297.06530832000004,552.64
0.0003,35011,116,-25.672530670000004,340.93,16,-12.351987838745117,35112,0.014129041694104671,1.9230709075927734,0.5488477945327759,2095,,
0.0003,35399,,,,,-12.000357627868652,35500,0.014258637093007565,1.7151751518249512,1.795836329460144,,290.43616607999996,614.42
0.0003,35899,,,,,-11.773002624511719,36000,0.014216241426765919,1.9559038877487183,-1.1586065292358398,,264.51740222,543.08
0.0003,36399,,,,,-12.674402236938477,36500,0.01438400149345398,1.3971827030181885,-0.42508411407470703,,260.21624626,510.1
0.0003,36437,120,-15.505594660000007,352.46,16,-12.780462265014648,36538,0.014385524205863476,1.820563554763794,0.4283534586429596,2189,,
0.0003,36899,,,,,-13.670093536376953,37000,0.014599394984543324,1.8220216035842896,0.38480812311172485,,320.22621226,637.96
0.0003,37399,,,,,-13.448976516723633,37500,0.014736952260136604,1.5778353214263916,0.16220307350158691,,224.12830656000003,468.0
0.0003,37899,,,,,-13.930253982543945,38000,0.014733544550836086,1.7950282096862793,0.12062084674835205,,199.4969184,428.4
0.0003,38399,,,,,-14.36241340637207,38500,0.014761969447135925,1.8668007850646973,-0.9468201398849487,,236.33351842,517.94
0.0003,38643,124,6.910943080000001,352.23,16,-15.316598892211914,38744,0.0146275470033288,1.9859446287155151,-0.0868736058473587,2309,,
0.0003,38899,,,,,-14.723625183105469,39000,0.014692221768200397,1.8742992877960205,1.1123623847961426,,243.55846728,471.48
0.0003,39399,,,,,-15.519817352294922,39500,0.014924316667020321,2.1271824836730957,-1.017986536026001,,158.22785184,382.58
0.0003,39899,,,,,-15.555851936340332,40000,0.014863071031868458,1.845354437828064,0.510451078414917,,261.12646376,537.46
0.0003,40309,128,13.696671110000002,368.01,16,-15.271003723144531,40410,0.014667491428554058,1.8104093074798584,0.340508371591568,2392,,
0.0003,40399,,,,,-15.25031852722168,40500,0.014605195261538029,1.6841356754302979,-1.395859718322754,,257.47298802,514.12
0.0003,40899,,,,,-16.112323760986328,41000,0.014883865602314472,2.3238439559936523,-1.3710767030715942,,273.07678430000004,513.64
0.0003,41399,,,,,-15.810417175292969,41500,0.014806254766881466,2.058542251586914,0.923954427242279,,242.92179037999998,464.1
0.0003,41899,,,,,-15.878357887268066,42000,0.014740332961082458,2.2268354892730713,-0.7375414371490479,,238.00965240000002,465.96
0.0003,42399,,,,,-16.541698455810547,42500,0.014890686608850956,2.0050692558288574,-0.5732954144477844,,250.52138791999997,480.32
0.0003,42838,132,25.420448910000008,390.43,16,-17.479982376098633,42939,0.014767601154744625,1.8615875244140625,0.004047989845275879,2533,,
0.0003,42899,,,,,-16.753679275512695,43000,0.014724056236445904,1.7321727275848389,-0.4114493131637573,,325.05839474,559.78
0.0003,43322,136,37.029046740000005,384.38,16,-17.309572219848633,43423,0.01479074452072382,2.0066781044006348,-0.2671605348587036,2565,,
0.0003,43399,,,,,-17.462196350097656,43500,0.014850885607302189,2.091310977935791,1.0747257471084595,,260.63360586000005,507.14
0.0003,43899,,,,,-17.355327606201172,44000,0.014921875670552254,2.5158884525299072,0.5297839641571045,,312.29480900000004,529.76
0.0003,44323,140,53.76615766,382.11,16,-17.807920455932617,44424,0.014778104610741138,2.4135091304779053,0.27272164821624756,2624,,
0.0003,44399,,,,,-18.11162757873535,44500,0.014866054058074951,1.9379247426986694,-1.2565993070602417,,328.42954366,541.8
0.0003,44899,,,,,-18.031879425048828,45000,0.014624562114477158,2.095461845397949,0.6831576228141785,,293.12147416000005,516.16
0.0003,45399,,,,,-18.563589096069336,45500,0.01478580106049776,1.6373611688613892,0.0767088532447815,,334.35756316,630.94
0.0003,45899,,,,,-19.086971282958984,46000,0.014808987267315388,2.452090263366699,-0.06062978506088257,,368.76249004000005,650.0
0.0003,46399,,,,,-18.457611083984375,46500,0.0148659972473979,2.1850953102111816,-0.9433788061141968,,342.53933464,588.44
0.0003,46801,144,81.49298335,385.23,16,-19.464672088623047,46902,0.014818515628576279,2.1408143043518066,-0.7483271360397339,2790,,
0.0003,46899,,,,,-18.98941421508789,47000,0.014748825691640377,1.6834988594055176,-0.1025015264749527,,360.04141627999996,601.4
0.0003,47399,,,,,-19.84857940673828,47500,0.014744972810149193,2.196526527404785,1.0512628555297852,,369.945724,715.26
0.0003,47899,,,,,-20.250598907470703,48000,0.014643438160419464,2.395564079284668,0.5699747800827026,,398.82423239999997,712.2
0.0003,48399,,,,,-21.158931732177734,48500,0.01491093635559082,2.878034830093384,1.1184812784194946,,390.2903447800001,637.66
0.0003,48564,148,100.34911838000004,390.57,16,-21.081195831298828,48665,0.014776969328522682,2.237621784210205,-1.2380927801132202,2936,,
0.0003,48899,,,,,-20.94679832458496,49000,0.014589659869670868,2.1618423461914062,-1.0091782808303833,,344.2313766,659.7
0.0003,49399,,,,,-20.846025466918945,49500,0.014736291952431202,3.2054386138916016,-0.37944459915161133,,355.39623872,617.06
0.0003,49899,,,,,-21.367305755615234,50000,0.014679308980703354,2.5309665203094482,1.2923247814178467,,353.39629306,591.34
0.0003,50399,,,,,-22.049362182617188,50500,0.014853696338832378,2.69136381149292,1.9357519149780273,,432.31140070000004,788.8
0.0003,50899,,,,,-21.623973846435547,51000,0.014557130634784698,1.9869626760482788,0.7673354744911194,,403.92344048,630.74
0.0003,51399,,,,,-22.04367446899414,51500,0.014778484590351582,2.3993637561798096,0.7655870318412781,,455.44337898,751.96
0.0003,51733,152,122.63200354,418.25,16,-22.61343765258789,51834,0.014735574834048748,2.089777946472168,-0.33307743072509766,3161,,
0.0003,51899,,,,,-22.488338470458984,52000,0.01499877031892538,2.425349235534668,0.15451478958129883,,345.14152107999996,553.0
0.0003,52399,,,,,-23.798961639404297,52500,0.01469677034765482,2.0290353298187256,1.2987172603607178,,450.99295526000003,729.2
0.0003,52899,,,,,-23.391193389892578,53000,0.014986365102231503,1.9813103675842285,0.1919594407081604,,456.65652279999995,797.72
0.0003,53399,,,,,-23.74002456665039,53500,0.014904525130987167,2.1409926414489746,-0.3661007881164551,,467.7208589,736.14
0.0003,53899,,,,,-23.5355281829834,54000,0.014936818741261959,2.125770092010498,-2.1997568607330322,,425.25771898,653.58
0.0003,54399,,,,,-24.20425033569336,54500,0.014953273348510265,2.292243003845215,0.7370445132255554,,409.42435658,685.06
0.0003,54771,156,150.66136314000002,433.28,16,-24.643571853637695,54872,0.015034263022243977,2.2359564304351807,-2.0356805324554443,3391,,
0.0003,54899,,,,,-23.749465942382812,55000,0.014851989224553108,2.757343053817749,0.12355920672416687,,421.00130384000005,629.32
0.0003,55399,,,,,-24.85940933227539,55500,0.01468688528984785,1.9143339395523071,0.3768160939216614,,410.08086086000003,592.86
0.0003,55899,,,,,-25.232925415039062,56000,0.014822777360677719,2.0352518558502197,0.9399238228797913,,375.76676620000006,590.72
0.0003,56399,,,,,-25.93172836303711,56500,0.014813613146543503,2.3284196853637695,-0.08421063423156738,,428.14907038000007,623.62
0.0003,56523,160,164.57574812,447.41,16,-25.12350082397461,56624,0.014911726117134094,2.1596407890319824,0.8700284957885742,3526,,
0.0003,56899,,,,,-25.77825164794922,57000,0.015027039684355259,2.210719585418701,0.8585841059684753,,464.25826772,631.6
0.0003,57399,,,,,-25.196884155273438,57500,0.01485232263803482,2.4209139347076416,-0.9624514579772949,,375.88643965999995,603.12
0.0003,57899,,,,,-26.762985229492188,58000,0.01497439481317997,2.9625232219696045,0.9535899758338928,,359.72249345999995,604.76
0.0003,58399,,,,,-26.463977813720703,58500,0.015003112144768238,2.3981566429138184,0.6008234620094299,,418.52952841999996,673.38
0.0003,58575,164,179.78007708999996,455.62,15,-25.774349212646484,58676,0.014996216632425785,2.073113441467285,-0.47495269775390625,3667,,
0.0003,58899,,,,,-26.637161254882812,59000,0.01473969966173172,2.705575942993164,1.9489796161651611,,460.00792327999994,624.26
0.0003,59399,,,,,-26.5040283203125,59500,0.014868492260575294,4.952380180358887,0.15181830525398254,,424.4587925999999,579.98
0.0003,59899,,,,,-28.196720123291016,60000,0.014793826267123222,2.489938735961914,0.7427408695220947,,380.12753913999995,621.84
0.0003,60330,168,193.51384088999995,469.62,16,-27.556156158447266,60431,0.015010824427008629,2.413813352584839,0.5764814615249634,3773,,
0.0003,60399,,,,,-27.147422790527344,60500,0.015025134198367596,2.38210129737854,0.48703533411026,,467.25326528000005,652.52
0.0003,60899,,,,,-28.291858673095703,61000,0.015024079941213131,3.3482272624969482,0.09700824320316315,,483.67243206,673.16
0.0003,61399,,,,,-28.056177139282227,61500,0.014796760864555836,2.7605550289154053,-0.33532413840293884,,549.8188802200001,737.62
0.0003,61899,,,,,-28.010215759277344,62000,0.014881210401654243,2.6954753398895264,1.9856723546981812,,488.4144724,748.9
0.0003,62399,,,,,-29.338642120361328,62500,0.014764764346182346,2.2954835891723633,0.26557326316833496,,437.85693574,616.54
0.0003,62899,,,,,-29.007837295532227,63000,0.014688671566545963,2.6785244941711426,-1.2060043811798096,,397.31483196,509.08
0.0003,63399,,,,,-29.489276885986328,63500,0.014949138276278973,2.638033151626587,1.7437028884887695,,432.3075591800001,602.34
0.0003,63564,172,215.10672505000002,488.47,15,-29.000850677490234,63665,0.014901092275977135,2.034698486328125,-0.5629661083221436,4024,,
0.0003,63899,,,,,-29.99400520324707,64000,0.014784454368054867,2.5410280227661133,0.4219915568828583,,566.53272718,711.54
0.0003,64399,,,,,-29.799015045166016,64500,0.014769368804991245,2.414867877960205,0.9035913348197937,,421.80511478,613.18
0.0003,64899,,,,,-30.8201904296875,65000,0.015029755420982838,3.595775604248047,0.6405471563339233,,549.5671933399999,738.56
0.0003,65399,,,,,-32.091278076171875,65500,0.014594857580959797,2.4568278789520264,-0.4866167902946472,,393.85111765999994,528.94
0.0003,65899,,,,,-31.111003875732422,66000,0.014804976060986519,3.1206448078155518,2.283090114593506,,440.82031923999995,541.32
0.0003,66147,176,238.32293351000004,502.38,15,-30.565872192382812,66248,0.014788198284804821,2.2332372665405273,0.4434632658958435,4200,,
0.0003,66399,,,,,-31.445470809936523,66500,0.014845560304820538,3.648048162460327,0.25556880235671997,,461.49971266,568.9
0.0003,66899,,,,,-32.57961654663086,67000,0.014868903905153275,2.502262830734253,-0.3876129984855652,,490.20951782000003,642.78
0.0003,67399,,,,,-31.78561019897461,67500,0.014827421866357327,2.2607412338256836,0.27925825119018555,,385.30968174000003,430.02
0.0003,67899,,,,,-32.16728591918945,68000,0.014853257685899734,2.2690787315368652,0.57040935754776,,495.18681384,631.26
0.0003,68399,,,,,-32.65142822265625,68500,0.015058333985507488,2.7547683715820312,-1.159746527671814,,502.85883292,586.28
0.0003,68899,,,,,-33.14537811279297,69000,0.015079258941113949,2.6136484146118164,1.5127102136611938,,531.07193036,634.06
0.0003,69140,180,255.99057733999996,516.3,15,-33.0357666015625,69241,0.0148092620074749,2.378450870513916,-0.3121866285800934,4398,,
0.0003,69399,,,,,-33.233863830566406,69500,0.014789523556828499,2.814763307571411,-0.9184713363647461,,425.7712387400001,591.78
0.0003,69899,,,,,-33.804866790771484,70000,0.014907488599419594,2.439213752746582,-1.5763492584228516,,369.11634577999996,485.22
0.0003,70399,,,,,-33.80630111694336,70500,0.014892412349581718,2.957035541534424,1.7999211549758911,,294.67345272,383.5
0.0003,70899,,,,,-34.11810302734375,71000,0.014768403954803944,2.561798095703125,-1.0300369262695312,,367.86000255999994,496.56
0.0003,71399,,,,,-33.68724060058594,71500,0.014535745605826378,2.34725284576416,0.21849364042282104,,309.92447045999995,441.9
0.0003,71899,,,,,-34.88372039794922,72000,0.014896680600941181,2.7418079376220703,-0.01143065094947815,,448.65908336000007,558.24
0.0003,72333,184,273.57502005000003,534.49,15,-33.643089294433594,72434,0.014811805449426174,2.3812971115112305,0.06656885147094727,4571,,
0.0003,72399,,,,,-35.48894500732422,72500,0.01469477266073227,2.298100471496582,0.8704932332038879,,312.2313679,391.16
0.0003,72899,,,,,-34.770545959472656,73000,0.014645686373114586,2.4428043365478516,-1.1314756870269775,,291.00761904,402.5
0.0003,73399,,,,,-35.34065246582031,73500,0.01469389721751213,3.1911535263061523,-0.3976101875305176,,366.60331455999994,481.6
0.0003,73899,,,,,-34.63903045654297,74000,0.014533501118421555,2.352175235748291,0.30607661604881287,,353.23399692000004,486.98
0.0003,74399,,,,,-37.3670654296875,74500,0.014675075188279152,3.084056854248047,1.5499181747436523,,313.44091982000003,418.36
0.0003,74899,,,,,-35.176395416259766,75000,0.014764065854251385,2.4975199699401855,-0.3625960350036621,,338.55224311999996,453.86
0.0003,75392,188,294.36074146,547.21,15,-35.079490661621094,75493,0.01490431185811758,2.4143788814544678,-0.9324823617935181,4726,,
0.0003,75399,,,,,-35.514892578125,75500,0.014898555353283882,3.0128965377807617,0.0656665712594986,,376.09657328000003,492.24
0.0003,75899,,,,,-36.780029296875,76000,0.014896545559167862,2.6544861793518066,0.347434401512146,,276.57312729999995,332.44
0.0003,76399,,,,,-37.48399353027344,76500,0.014480361714959145,2.9084885120391846,0.18501520156860352,,305.04778774,433.98
0.0003,76899,,,,,-36.76880645751953,77000,0.01453747134655714,4.331747055053711,0.44896548986434937,,491.85425928000006,575.98
0.0003,77399,,,,,-36.99903106689453,77500,0.014493804425001144,3.815316915512085,0.5293629169464111,,415.86641027999997,499.34
0.0003,77539,192,310.2276668,541.13,15,-38.715614318847656,77640,0.01448177732527256,5.9041748046875,1.193926453590393,4858,,
0.0003,77899,,,,,-37.19058609008789,78000,0.014599889516830444,3.6119165420532227,0.064451202750206,,508.48217602000005,574.82
