train/critic_loss,time/total_timesteps,train/actor_loss,eval/mean_ep_length,train/learning_rate,train/n_updates,eval/mean_reward,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed
40.57305908203125,844000,-3162.21875,1000.0,0.001,843899,36465.43918866,,,,,
,844000,,,,,,36494.83844428,8,1000.0,844,102135
156.59469604492188,844500,-3158.41357421875,1000.0,0.001,844399,36465.43918866,,,,,
81.18685150146484,845000,-3156.0048828125,1000.0,0.001,844899,36465.43918866,,,,,
31.90636444091797,845500,-3155.04931640625,1000.0,0.001,845399,36465.43918866,,,,,
82.75435638427734,846000,-3164.72216796875,1000.0,0.001,845899,36465.43918866,,,,,
103.06564331054688,846500,-3160.873779296875,1000.0,0.001,846399,36465.43918866,,,,,
31.970386505126953,847000,-3149.302490234375,1000.0,0.001,846899,36465.43918866,,,,,
23.938356399536133,847500,-3164.53759765625,1000.0,0.001,847399,36465.43918866,,,,,
54.70476531982422,848000,-3168.716552734375,1000.0,0.001,847899,36465.43918866,,,,,
,848000,,,,,,36499.20613001,8,1000.0,848,102609
548.361572265625,848500,-3169.890625,1000.0,0.001,848399,36465.43918866,,,,,
83.44977569580078,849000,-3150.796875,1000.0,0.001,848899,36465.43918866,,,,,
44.245201110839844,849500,-3156.154541015625,1000.0,0.001,849399,36465.43918866,,,,,
53.728736877441406,850000,-3160.2841796875,1000.0,0.001,849899,36465.43918866,,,,,
23.248401641845703,850500,-3159.068603515625,1000.0,0.001,850399,36465.43918866,,,,,
56.80101013183594,851000,-3157.914306640625,1000.0,0.001,850899,36465.43918866,,,,,
23.481159210205078,851500,-3158.09033203125,1000.0,0.001,851399,36465.43918866,,,,,
96.76228332519531,852000,-3167.260009765625,1000.0,0.001,851899,36465.43918866,,,,,
,852000,,,,,,36515.34711535,8,1000.0,852,103078
40.48762512207031,852500,-3151.556396484375,1000.0,0.001,852399,36465.43918866,,,,,
104.64065551757812,853000,-3158.365478515625,1000.0,0.001,852899,36465.43918866,,,,,
33.18505096435547,853500,-3163.325927734375,1000.0,0.001,853399,36465.43918866,,,,,
60.7430534362793,854000,-3161.419677734375,1000.0,0.001,853899,36465.43918866,,,,,
15.764183044433594,854500,-3157.45068359375,1000.0,0.001,854399,36465.43918866,,,,,
29.39400863647461,855000,-3153.06884765625,1000.0,0.001,854899,36465.43918866,,,,,
126.49514770507812,855500,-3159.85205078125,1000.0,0.001,855399,36465.43918866,,,,,
29.611753463745117,856000,-3162.20751953125,1000.0,0.001,855899,36465.43918866,,,,,
,856000,,,,,,36513.699037490005,8,1000.0,856,103618
14.968745231628418,856500,-3156.59814453125,1000.0,0.001,856399,36465.43918866,,,,,
58.459476470947266,857000,-3158.01171875,1000.0,0.001,856899,36465.43918866,,,,,
27.181703567504883,857500,-3152.799072265625,1000.0,0.001,857399,36465.43918866,,,,,
