train/critic_loss,eval/mean_ep_length,train/actor_loss,time/total_timesteps,train/learning_rate,eval/mean_reward,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes
144.2044219970703,1000.0,-3199.3447265625,80500,0.001,39629.232451840006,80399,,,,,
633.29736328125,1000.0,-3126.73583984375,81000,0.001,39629.232451840006,80899,,,,,
501.25579833984375,1000.0,-3194.689453125,81500,0.001,39629.232451840006,81399,,,,,
219.26724243164062,1000.0,-3213.584228515625,82000,0.001,39629.232451840006,81899,,,,,
57.60321044921875,1000.0,-3182.68505859375,82500,0.001,39629.232451840006,82399,,,,,
343.5054931640625,1000.0,-3138.412109375,83000,0.001,39629.232451840006,82899,,,,,
261.5535888671875,1000.0,-3212.1376953125,83500,0.001,39629.232451840006,83399,,,,,
710.2647094726562,1000.0,-3201.73681640625,84000,0.001,39629.232451840006,83899,,,,,
,,,84000,,,,1000.0,9696,39707.714465357145,8,84
204.89805603027344,1000.0,-3221.909423828125,84500,0.001,39629.232451840006,84399,,,,,
373.2581787109375,1000.0,-3240.344970703125,85000,0.001,39629.232451840006,84899,,,,,
243.7808837890625,1000.0,-3341.79150390625,85500,0.001,39629.232451840006,85399,,,,,
381.0645446777344,1000.0,-3317.086669921875,86000,0.001,39629.232451840006,85899,,,,,
297.1766357421875,1000.0,-3227.43798828125,86500,0.001,39629.232451840006,86399,,,,,
213.95401000976562,1000.0,-3191.379638671875,87000,0.001,39629.232451840006,86899,,,,,
405.51104736328125,1000.0,-3219.943115234375,87500,0.001,39629.232451840006,87399,,,,,
217.4635009765625,1000.0,-3260.292724609375,88000,0.001,39629.232451840006,87899,,,,,
,,,88000,,,,1000.0,10114,40136.05060097727,8,88
227.16751098632812,1000.0,-3262.30517578125,88500,0.001,39629.232451840006,88399,,,,,
696.3868408203125,1000.0,-3303.908447265625,89000,0.001,39629.232451840006,88899,,,,,
485.0838623046875,1000.0,-3257.914306640625,89500,0.001,39629.232451840006,89399,,,,,
