rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
100.0,-0.7891630530357361,46,25.26154899597168,-51.88585029000001,348,0.008389794267714024,34800,0.021993303671479225,748,34699,0.0003,,
,0.6164537072181702,,25.54489517211914,,,0.008432186208665371,35000,0.023400649428367615,,34899,0.0003,100.0,-48.18751276
100.0,0.5238956212997437,46,25.24135971069336,-52.44075292999999,352,0.008336775004863739,35200,0.017775090411305428,757,35099,0.0003,,
,-1.8867733478546143,,26.087888717651367,,,0.008346149697899818,35500,0.02234441041946411,,35399,0.0003,100.0,-43.517362080000005
100.0,1.3828374147415161,46,25.820423126220703,-52.75327260999998,356,0.008345934562385082,35600,0.017608674243092537,765,35499,0.0003,,
,0.7825965881347656,,25.756574630737305,,,0.008300385437905788,36000,0.01607970893383026,,35899,0.0003,100.0,-41.86827795999999
100.0,,46,,-52.95444862,360,,36000,,774,,,,
100.0,0.6915568113327026,46,26.466176986694336,-52.55159275,364,0.008313640020787716,36400,0.023109039291739464,777,36299,0.0003,,
,-0.2312859147787094,,26.599828720092773,,,0.008310947567224503,36500,0.019056759774684906,,36399,0.0003,100.0,-42.07777054
100.0,0.528461217880249,46,26.584552764892578,-52.87877272999998,368,0.008290927857160568,36800,0.017179429531097412,786,36699,0.0003,,
,1.1855299472808838,,26.87824249267578,,,0.008327096700668335,37000,0.01994672603905201,,36899,0.0003,100.0,-43.442519919999995
100.0,-1.6114916801452637,46,26.89756202697754,-53.12566051999999,372,0.008318813517689705,37200,0.016502752900123596,794,37099,0.0003,,
,0.7738491296768188,,27.065792083740234,,,0.008309699594974518,37500,0.02067551016807556,,37399,0.0003,100.0,-41.82981436
100.0,2.0402708053588867,46,27.22591781616211,-52.77685974,376,0.008286954835057259,37600,0.018227335065603256,803,37499,0.0003,,
,1.5534285306930542,,27.725387573242188,,,0.008288298733532429,38000,0.016764067113399506,,37899,0.0003,100.0,-42.57203596
100.0,,46,,-52.49450497,380,,38000,,811,,,,
100.0,-0.6704156398773193,47,27.8446044921875,-52.2515818,384,0.008272106759250164,38400,0.018710166215896606,815,38299,0.0003,,
,1.742948293685913,,28.223278045654297,,,0.008260320872068405,38500,0.019145887345075607,,38399,0.0003,100.0,-39.93392476
100.0,-0.15971100330352783,47,28.117395401000977,-51.277541549999995,388,0.00825225468724966,38800,0.019351068884134293,823,38699,0.0003,,
,1.2646472454071045,,28.41729736328125,,,0.008184103295207024,39000,0.016432709991931915,,38899,0.0003,100.0,-37.99666196
100.0,-0.5091221332550049,47,28.477930068969727,-50.54138005,392,0.008167718537151814,39200,0.023751400411128998,832,39099,0.0003,,
,-1.9725208282470703,,28.44226837158203,,,0.00821708794683218,39500,0.014554904773831367,,39399,0.0003,100.0,-37.75357744
100.0,1.2247861623764038,47,28.659530639648438,-49.53516071000001,396,0.008203139528632164,39600,0.01775592938065529,840,39499,0.0003,,
,0.7607244253158569,,29.061452865600586,,,0.008225873112678528,40000,0.016943689435720444,,39899,0.0003,100.0,-36.659705880000004
100.0,,47,,-48.64674066,400,,40000,,849,,,,
100.0,-1.6289671659469604,47,29.257816314697266,-47.93555217,404,0.008258521556854248,40400,0.018982484936714172,852,40299,0.0003,,
,-0.29367268085479736,,29.389076232910156,,,0.008204116486012936,40500,0.016040317714214325,,40399,0.0003,100.0,-36.18754272
100.0,-0.2361440509557724,47,29.497760772705078,-47.16243518000001,408,0.00819873996078968,40800,0.020698009058833122,861,40699,0.0003,,
,0.9183619618415833,,29.472288131713867,,,0.00820926669985056,41000,0.013730387203395367,,40899,0.0003,100.0,-36.5242669
100.0,0.04742693901062012,47,30.10016441345215,-46.28453678000001,412,0.008233988657593727,41200,0.018255487084388733,869,41099,0.0003,,
,0.5557607412338257,,30.022903442382812,,,0.00819389708340168,41500,0.01746257394552231,,41399,0.0003,100.0,-36.03806778
100.0,-0.09868067502975464,47,29.96084976196289,-45.277022329999994,416,0.008199200965464115,41600,0.01623374968767166,878,41499,0.0003,,
,0.7834724187850952,,30.260059356689453,,,0.008219054900109768,42000,0.014063049107789993,,41899,0.0003,100.0,-36.7233969
100.0,,47,,-44.41436478999999,420,,42000,,886,,,,
100.0,1.8567819595336914,47,30.708213806152344,-43.93821178999999,424,0.008279462344944477,42400,0.015885625034570694,890,42299,0.0003,,
,0.2824522852897644,,30.79445457458496,,,0.00828160997480154,42500,0.013873973861336708,,42399,0.0003,100.0,-36.257224799999996
100.0,0.17624397575855255,47,30.92815399169922,-43.37345103,428,0.008375432342290878,42800,0.013713942840695381,898,42699,0.0003,,
,0.3136683702468872,,30.92633628845215,,,0.00836206041276455,43000,0.012706085108220577,,42899,0.0003,100.0,-35.79644896
100.0,-0.18909353017807007,47,31.147619247436523,-43.07493226,432,0.008365174755454063,43200,0.013612402603030205,907,43099,0.0003,,
,0.7773817777633667,,31.23902130126953,,,0.008344235830008984,43500,0.01347709633409977,,43399,0.0003,100.0,-36.33557536
100.0,-1.9748344421386719,47,31.191669464111328,-42.82306032,436,0.008371260017156601,43600,0.01602480374276638,915,43499,0.0003,,
,-0.07499690353870392,,31.838298797607422,,,0.008435915224254131,44000,0.020464930683374405,,43899,0.0003,100.0,-36.66279281999999
100.0,,47,,-42.28111343999999,440,,44000,,924,,,,
100.0,-0.4392811954021454,47,31.82982635498047,-41.88200464,444,0.008446150459349155,44400,0.014012128114700317,928,44299,0.0003,,
,-0.027304816991090775,,31.999290466308594,,,0.008436855860054493,44500,0.013065346516668797,,44399,0.0003,100.0,-35.764585939999996
100.0,-1.4120116233825684,47,31.755847930908203,-41.40016183000001,448,0.008469897322356701,44800,0.01822621375322342,936,44699,0.0003,,
,-0.10621830821037292,,32.12545394897461,,,0.008530142717063427,45000,0.013218216598033905,,44899,0.0003,100.0,-37.354949940000004
100.0,-1.075962781906128,47,31.670597076416016,-41.101565750000006,452,0.008601662702858448,45200,0.013516496866941452,945,45099,0.0003,,
,-1.3841643333435059,,32.34613037109375,,,0.008528577163815498,45500,0.01960963010787964,,45399,0.0003,100.0,-35.84738914
100.0,-1.0892815589904785,47,32.304386138916016,-40.83006486,456,0.008504065684974194,45600,0.01597338728606701,953,45499,0.0003,,
,-0.9414867162704468,,32.24864196777344,,,0.008632183074951172,46000,0.016697518527507782,,45899,0.0003,100.0,-35.97198572
100.0,,47,,-40.56375169,460,,46000,,962,,,,
100.0,-1.0419316291809082,48,32.760894775390625,-40.15403364,464,0.008684881962835789,46400,0.01451872382313013,965,46299,0.0003,,
,0.518337607383728,,32.813968658447266,,,0.008634657599031925,46500,0.017726121470332146,,46399,0.0003,100.0,-35.7159262
100.0,2.0576839447021484,48,32.74864959716797,-39.77225132,468,0.008624530397355556,46800,0.013682518154382706,974,46699,0.0003,,
,0.8392977714538574,,32.95550537109375,,,0.008660057559609413,47000,0.019494017586112022,,46899,0.0003,100.0,-36.42575554
100.0,0.34372788667678833,48,33.06739807128906,-39.50514347,472,0.008669593371450901,47200,0.017131417989730835,982,47099,0.0003,,
,1.4507979154586792,,33.25056838989258,,,0.008640180341899395,47500,0.014776871539652348,,47399,0.0003,100.0,-36.166611319999994
100.0,-1.7710177898406982,48,33.16104507446289,-39.370355569999994,476,0.008686572313308716,47600,0.013192476704716682,991,47499,0.0003,,
,-0.3086901307106018,,33.178070068359375,,,0.008592220954596996,48000,0.013528699055314064,,47899,0.0003,100.0,-35.76241116
100.0,,48,,-39.35697432,480,,48000,,999,,,,
100.0,-0.6397390365600586,48,33.60898971557617,-38.9502939,484,0.008585521019995213,48400,0.01175292581319809,1003,48299,0.0003,,
,0.18073314428329468,,33.82135772705078,,,0.008580704219639301,48500,0.015935320407152176,,48399,0.0003,100.0,-34.99511102
100.0,-0.9011027812957764,48,33.501686096191406,-38.83118277,488,0.008654352277517319,48800,0.018270954489707947,1011,48699,0.0003,,
,-0.3241734504699707,,33.63037109375,,,0.008646939881145954,49000,0.017125118523836136,,48899,0.0003,100.0,-35.74087796
100.0,-1.585173487663269,48,33.82997131347656,-38.58684905,492,0.008626138791441917,49200,0.019344095140695572,1020,49099,0.0003,,
