time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
224,315.98934625999993,252,50,64.46,11423,0.0003,-149.5037841796875,40.96123504638672,11322,-19.975162506103516,0.048529788851737976,,
,,,,,11500,0.0003,-142.69070434570312,40.34758758544922,11399,-20.510578155517578,0.047735508531332016,361.02397984000004,70.42
233,320.10485795999995,256,50,65.2,11706,0.0003,-144.62490844726562,45.3126335144043,11605,-21.342456817626953,0.0456608384847641,,
236,323.66579184000005,260,50,65.84,11992,0.0003,-147.71522521972656,29.393728256225586,11891,-15.87928581237793,0.0430758073925972,,
,,,,,12000,0.0003,-145.4735107421875,31.962308883666992,11899,-12.542726516723633,0.04301003739237785,295.03145012,58.28
243,324.64482716,264,50,65.97,12221,0.0003,-139.23794555664062,53.81644058227539,12120,-11.480484008789062,0.041233956813812256,,
246,326.4254386,268,50,66.35,12462,0.0003,-142.74758911132812,34.30078887939453,12361,-11.550161361694336,0.0394493006169796,,
,,,,,12500,0.0003,-141.16567993164062,45.20726013183594,12399,-13.113492965698242,0.039186619222164154,378.2622733799999,75.64
255,329.88383468,272,49,67.05,12734,0.0003,-139.04940795898438,38.17211151123047,12633,-11.88010025024414,0.03767072409391403,,
,,,,,13000,0.0003,-136.77442932128906,42.385868072509766,12899,-7.886081695556641,0.036136943846940994,337.37757246,68.84
264,334.03678593999996,276,49,67.98,13030,0.0003,-143.88751220703125,47.09197235107422,12929,-10.894233703613281,0.0360085666179657,,
268,337.23881592,280,49,68.92,13365,0.0003,-149.73785400390625,51.717750549316406,13264,-4.400564670562744,0.034464895725250244,,
,,,,,13500,0.0003,-137.90371704101562,42.17002868652344,13399,-5.46728515625,0.03395654261112213,389.84443039999996,81.08
279,343.24388366,284,49,70.62,13761,0.0003,-137.8128662109375,39.26439666748047,13660,-8.008416175842285,0.033022429794073105,,
,,,,,14000,0.0003,-138.0183563232422,42.00794982910156,13899,-6.815194606781006,0.03216085210442543,327.05105912,70.68
288,345.25924585000007,288,48,71.47,14098,0.0003,-139.73532104492188,31.956819534301758,13997,-7.211270332336426,0.0318293571472168,,
291,347.5163381600001,292,49,72.31,14399,0.0003,-146.82826232910156,41.29771423339844,14298,-2.0917160511016846,0.031115390360355377,,
,,,,,14500,0.0003,-140.25210571289062,35.409523010253906,14399,-0.01338052749633789,0.03094824217259884,372.59660786,80.7
302,351.95223915,296,48,73.24,14724,0.0003,-135.32675170898438,37.48968505859375,14623,-1.756639003753662,0.030543573200702667,,
,,,,,15000,0.0003,-143.01736450195312,44.48743438720703,14899,-5.755674839019775,0.03016296774148941,417.85394809999997,86.04
313,358.56817592,300,48,74.46,15138,0.0003,-138.38638305664062,53.563377380371094,15037,5.340880870819092,0.029803890734910965,,
317,362.78929065999995,304,48,75.25,15497,0.0003,-138.2774200439453,36.27519226074219,15396,0.7656155228614807,0.02922658808529377,,
,,,,,15500,0.0003,-136.89361572265625,43.067867279052734,15399,-1.6869138479232788,0.0292233694344759,420.92051834,87.14
327,360.99397221000004,308,48,74.92,15737,0.0003,-135.76220703125,45.09751892089844,15636,1.7557475566864014,0.029504355043172836,,
,,,,,16000,0.0003,-134.79849243164062,39.498802185058594,15899,-2.7138986587524414,0.029330149292945862,430.50209309999997,92.12
339,367.5661766999999,312,47,76.01,16132,0.0003,-133.84527587890625,39.138214111328125,16031,2.797961950302124,0.029022736474871635,,
342,368.64457023999995,316,47,76.32,16390,0.0003,-140.74072265625,29.33852195739746,16289,3.0931053161621094,0.028527168557047844,,
,,,,,16500,0.0003,-138.48468017578125,39.34125518798828,16399,-4.002963066101074,0.02849266678094864,340.04436704,69.32
351,368.15901883,320,47,76.36,16678,0.0003,-133.7117462158203,40.97376251220703,16577,3.8555891513824463,0.028395546600222588,,
,,,,,17000,0.0003,-141.95916748046875,34.507713317871094,16899,0.2582325339317322,0.028317905962467194,372.69716705999997,73.98
362,375.12980265,324,47,77.97,17085,0.0003,-135.41470336914062,35.23740768432617,16984,1.6101428270339966,0.028423136100172997,,
366,380.49449706,328,47,79.06,17422,0.0003,-141.00469970703125,47.275474548339844,17321,-0.6722712516784668,0.028518104925751686,,
,,,,,17500,0.0003,-131.2772216796875,40.2113151550293,17399,3.9572601318359375,0.02849220484495163,342.39636838000007,71.28
376,381.08099045,332,47,79.31,17775,0.0003,-135.9251708984375,38.541900634765625,17674,2.9807088375091553,0.028218625113368034,,
,,,,,18000,0.0003,-138.47781372070312,33.778343200683594,17899,-1.4840126037597656,0.02825262024998665,384.72823351999995,77.94
386,381.67109066000006,336,46,79.4,18054,0.0003,-138.7283477783203,40.979496002197266,17953,3.3105921745300293,0.028216727077960968,,
389,377.07553066,340,47,78.46,18342,0.0003,-134.92526245117188,35.561431884765625,18241,1.5152918100357056,0.02813088893890381,,
,,,,,18500,0.0003,-134.19171142578125,36.68804931640625,18399,-0.11858165264129639,0.027581632137298584,383.4366664599999,78.14
399,377.6719494899999,344,46,78.56,18662,0.0003,-134.31224060058594,35.72959899902344,18561,-1.8711422681808472,0.02696775458753109,,
,,,,,19000,0.0003,-138.80239868164062,53.83374786376953,18899,0.38506650924682617,0.027187412604689598,474.9144369,99.78
411,384.12477227999995,348,46,79.63,19055,0.0003,-136.327392578125,33.75225067138672,18954,-1.6174366474151611,0.027179699391126633,,
415,383.9810506,352,46,79.56,19379,0.0003,-143.26876831054688,30.73653793334961,19278,-0.9984982013702393,0.026482967659831047,,
,,,,,19500,0.0003,-133.7379150390625,41.69900894165039,19399,6.349342346191406,0.026302700862288475,416.7776169399999,88.7
427,387.73283268,356,46,80.32,19738,0.0003,-136.34408569335938,43.83766174316406,19637,2.966202735900879,0.026991434395313263,,
,,,,,20000,0.0003,-136.14373779296875,28.605823516845703,19899,-2.2697086334228516,0.02730419486761093,443.26431064000013,88.48
438,389.68448648,360,45,80.73,20065,0.0003,-130.9354705810547,34.78118896484375,19964,-0.45139849185943604,0.027158064767718315,,
443,397.86521665,364,46,82.48,20469,0.0003,-129.6269073486328,38.89992141723633,20368,-2.9804773330688477,0.02623380906879902,,
,,,,,20500,0.0003,-135.52252197265625,29.45231819152832,20399,0.30157822370529175,0.026186572387814522,425.82003766,86.12
454,400.3838249099999,368,45,82.92,20754,0.0003,-135.35658264160156,32.903907775878906,20653,-0.8749611377716064,0.026126530021429062,,
