eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
861.19815924,960.48,0.5098698139190674,-29.137195587158203,51399,51500,0.001,,,,,
824.9141890000001,980.38,0.3543063700199127,-28.77664566040039,51899,52000,0.001,,,,,
847.5638650000001,1000.0,0.4276455342769623,-29.026844024658203,52399,52500,0.001,,,,,
802.0611404399999,1000.0,0.4583418369293213,-28.554733276367188,52899,53000,0.001,,,,,
903.8476424,980.26,0.6409562826156616,-28.696964263916016,53399,53500,0.001,,,,,
733.4836705800002,993.22,0.47409337759017944,-29.064208984375,53899,54000,0.001,,,,,
814.8335191999998,988.92,0.46313387155532837,-29.088359832763672,54399,54500,0.001,,,,,
,,0.3928723633289337,-30.504119873046875,54885,54986,0.001,10,916.4333333333333,60,659.3510561166665,5377
891.06730394,1000.0,0.3312201201915741,-29.325204849243164,54899,55000,0.001,,,,,
926.3137186200001,997.7,0.43204861879348755,-30.51378631591797,55399,55500,0.001,,,,,
875.63158708,980.26,0.34240561723709106,-30.501482009887695,55899,56000,0.001,,,,,
874.7256040999999,980.22,0.4302401542663574,-30.016698837280273,56399,56500,0.001,,,,,
886.8218570399999,980.04,0.40849512815475464,-30.726051330566406,56899,57000,0.001,,,,,
882.25064052,999.92,0.47158700227737427,-31.297988891601562,57399,57500,0.001,,,,,
915.2638122800001,1000.0,0.4292493462562561,-31.924942016601562,57899,58000,0.001,,,,,
847.2164692000001,997.4,0.2959323525428772,-30.59834861755371,58399,58500,0.001,,,,,
,,0.39264941215515137,-31.800804138183594,58885,58986,0.001,10,921.65625,64,672.1658890312501,5839
880.58248512,998.64,0.28045853972435,-31.36154556274414,58899,59000,0.001,,,,,
764.3424215,970.3,0.29722732305526733,-31.96100616455078,59399,59500,0.001,,,,,
890.36676796,1000.0,0.3440364599227905,-32.639854431152344,59899,60000,0.001,,,,,
846.17848728,990.54,0.30692028999328613,-32.18159484863281,60399,60500,0.001,,,,,
908.6442513399998,1000.0,0.5470401048660278,-33.358192443847656,60899,61000,0.001,,,,,
871.5757296200001,993.94,0.32262203097343445,-32.44158172607422,61399,61500,0.001,,,,,
916.9856207599998,999.66,0.41187936067581177,-32.29270935058594,61899,62000,0.001,,,,,
935.90576178,1000.0,0.3919844925403595,-32.461029052734375,62399,62500,0.001,,,,,
,,0.32068654894828796,-32.99044418334961,62885,62986,0.001,9,926.2647058823529,68,682.1023454411765,6300
