train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
49099,0.001,0.09463915973901749,49200,714,68,-43.01996498,41.20140075683594,100.0,492,,
49399,0.001,0.08972503989934921,49500,,,,41.099876403808594,,,100.0,-42.77071749999999
49499,0.001,0.07727298140525818,49600,720,68,-42.56312330000001,41.10523986816406,100.0,496,,
49899,0.001,0.06038620322942734,50000,,,,41.18578338623047,,,100.0,-42.57809826
,,,50000,726,68,-42.70148945,,100.0,500,,
50299,0.001,0.06485950946807861,50400,729,69,-42.435729980000005,41.232337951660156,100.0,504,,
50399,0.001,0.08725062012672424,50500,,,,41.67230224609375,,,100.0,-41.83097826
50699,0.001,0.07963826507329941,50800,735,69,-42.48560850999999,42.14976119995117,100.0,508,,
50899,0.001,0.10681958496570587,51000,,,,41.833003997802734,,,100.0,-42.50347192
51099,0.001,0.06256470829248428,51200,742,68,-42.41225696000001,41.95376205444336,100.0,512,,
51399,0.001,0.0561690591275692,51500,,,,41.80970764160156,,,100.0,-42.029145220000004
51499,0.001,0.08153922855854034,51600,749,68,-42.307520260000004,41.862030029296875,100.0,516,,
51899,0.001,0.066957488656044,52000,,,,42.394508361816406,,,100.0,-42.248470399999995
,,,52000,756,68,-41.749899590000005,,100.0,520,,
52299,0.001,0.09184540808200836,52400,758,69,-41.551700229999994,42.32870101928711,100.0,524,,
52399,0.001,0.0632590502500534,52500,,,,42.64236068725586,,,100.0,-42.352757679999996
52699,0.001,0.07599705457687378,52800,765,69,-41.44603926,42.65052032470703,100.0,528,,
52899,0.001,0.09098511934280396,53000,,,,42.42753601074219,,,100.0,-42.099857
53099,0.001,0.11049281060695648,53200,771,68,-41.034729629999994,42.38559341430664,100.0,532,,
53399,0.001,0.07201363891363144,53500,,,,42.59989929199219,,,100.0,-42.00594168
53499,0.001,0.06031782925128937,53600,777,68,-40.94837064,43.19655227661133,100.0,536,,
53899,0.001,0.1238437294960022,54000,,,,42.733455657958984,,,100.0,-42.10406754
,,,54000,784,68,-41.0152783,,100.0,540,,
54299,0.001,0.09777726978063583,54400,786,69,-41.11854553,42.477394104003906,100.0,544,,
54399,0.001,0.06321769952774048,54500,,,,43.31285095214844,,,100.0,-42.0915614
54699,0.001,0.09307898581027985,54800,793,69,-40.99478954,43.385719299316406,100.0,548,,
54899,0.001,0.09499339759349823,55000,,,,43.46533966064453,,,100.0,-43.240410919999995
55099,0.001,0.06756003946065903,55200,800,68,-41.06529665,43.15736389160156,100.0,552,,
55399,0.001,0.08587465435266495,55500,,,,43.27737808227539,,,100.0,-41.38080922
55499,0.001,0.08081967383623123,55600,806,68,-41.09335314,43.6470832824707,100.0,556,,
55899,0.001,0.06476276367902756,56000,,,,43.44725036621094,,,100.0,-40.35292448
,,,56000,813,68,-41.03111496,,100.0,560,,
56299,0.001,0.06552769243717194,56400,815,69,-40.669205510000005,43.65681457519531,100.0,564,,
56399,0.001,0.06836587935686111,56500,,,,43.846195220947266,,,100.0,-46.988662379999994
56699,0.001,0.061945054680109024,56800,822,69,-40.91276180999999,43.66180419921875,100.0,568,,
56899,0.001,0.08121799677610397,57000,,,,43.79639434814453,,,100.0,-40.7514087
57099,0.001,0.05900371074676514,57200,829,68,-40.9328417,44.15901184082031,100.0,572,,
57399,0.001,0.08601409941911697,57500,,,,44.191627502441406,,,100.0,-47.31418658
57499,0.001,0.08963768184185028,57600,836,68,-40.8911929,43.945350646972656,100.0,576,,
57899,0.001,0.060315970331430435,58000,,,,44.49088668823242,,,100.0,-40.346330619999996
,,,58000,842,68,-40.609384999999996,,100.0,580,,
58299,0.001,0.06296853721141815,58400,845,69,-40.41015901,44.15800476074219,100.0,584,,
58399,0.001,0.09269929677248001,58500,,,,44.60095977783203,,,100.0,-41.43726326
58699,0.001,0.06943222880363464,58800,851,69,-40.276855389999994,44.06796646118164,100.0,588,,
58899,0.001,0.086128368973732,59000,,,,44.47716522216797,,,100.0,-41.54014282
59099,0.001,0.06147408485412598,59200,858,68,-39.89730694,44.40068054199219,100.0,592,,
59399,0.001,0.11508942395448685,59500,,,,44.48951721191406,,,100.0,-40.47933872000001
59499,0.001,0.07599589228630066,59600,864,68,-40.09101178,44.56483459472656,100.0,596,,
59899,0.001,0.05749800056219101,60000,,,,44.22261428833008,,,100.0,-41.51977302
,,,60000,871,68,-40.04349346,,100.0,600,,
60299,0.001,0.06690632551908493,60400,873,69,-39.99674243999999,44.928524017333984,100.0,604,,
60399,0.001,0.07686372846364975,60500,,,,44.608402252197266,,,100.0,-40.80454326
60699,0.001,0.07241486012935638,60800,880,69,-39.80534693,45.05638122558594,100.0,608,,
60899,0.001,0.07590159773826599,61000,,,,44.66594696044922,,,100.0,-41.94550595999999
61099,0.001,0.07540273666381836,61200,888,68,-39.716105420000005,44.91709899902344,100.0,612,,
61399,0.001,0.06715807318687439,61500,,,,45.01085662841797,,,100.0,-42.68062676
61499,0.001,0.06950820982456207,61600,894,68,-39.58374396,44.73237228393555,100.0,616,,
61899,0.001,0.05338446423411369,62000,,,,45.08585739135742,,,100.0,-42.593035740000005
,,,62000,900,68,-39.876507419999996,,100.0,620,,
62299,0.001,0.07236643135547638,62400,903,69,-39.952762549999996,44.800960540771484,100.0,624,,
62399,0.001,0.1094997376203537,62500,,,,45.51856994628906,,,100.0,-43.030475919999986
62699,0.001,0.123256616294384,62800,909,69,-39.823534620000004,45.593929290771484,100.0,628,,
62899,0.001,0.11904078722000122,63000,,,,45.534568786621094,,,100.0,-42.97421328
63099,0.001,0.16042327880859375,63200,916,68,-40.29051252,45.0986328125,100.0,632,,
63399,0.001,0.09062802046537399,63500,,,,45.511497497558594,,,100.0,-46.90347273999999
