time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1004,-39.905006500000006,0.01559065654873848,36,30.94115447998047,36800,36699,368,100.0,0.007637515664100647,0.025638073682785034,0.0003,,
,,0.01893959939479828,,30.72870635986328,37000,36899,,,0.007653125561773777,-0.6937696933746338,0.0003,100.0,-37.24790236
1016,-40.23089197000001,0.015362781472504139,36,31.091840744018555,37200,37099,372,100.0,0.007616607006639242,1.4730217456817627,0.0003,,
,,0.018763737753033638,,31.31683349609375,37500,37399,,,0.007555759511888027,0.6720996499061584,0.0003,100.0,-37.33320238
1029,-40.22506843,0.017780650407075882,36,31.31941032409668,37600,37499,376,100.0,0.007539079058915377,-0.004552945494651794,0.0003,,
,,0.018856504932045937,,31.4097843170166,38000,37899,,,0.0075791459530591965,-0.6583750247955322,0.0003,100.0,-37.8683194
1041,-40.21014187,,36,,38000,,380,100.0,,,,,
1046,-39.922919320000005,0.0234171561896801,36,32.06828308105469,38400,38299,384,100.0,0.0075019169598817825,-1.6176643371582031,0.0003,,
,,0.017409147694706917,,31.789947509765625,38500,38399,,,0.007520067505538464,-0.4446439743041992,0.0003,100.0,-37.6508312
1059,-40.10505733,0.018857531249523163,36,32.177764892578125,38800,38699,388,100.0,0.007468662224709988,1.9158382415771484,0.0003,,
,,0.019025787711143494,,32.16630554199219,39000,38899,,,0.007422737777233124,0.26644760370254517,0.0003,100.0,-38.40427612
1071,-40.15878289,0.016881072893738747,36,32.04595947265625,39200,39099,392,100.0,0.007400006987154484,0.17678406834602356,0.0003,,
,,0.021249303594231606,,32.506553649902344,39500,39399,,,0.0074491496197879314,1.005016565322876,0.0003,100.0,-37.54620478
1084,-40.105397010000004,0.022431835532188416,36,32.022705078125,39600,39499,396,100.0,0.007409021258354187,-0.15962842106819153,0.0003,,
